foundation_name,foundation_state,foundation_total_assets,siblings_funded,grants_to_siblings,target_grants_to_siblings,target_first_grants,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants,geo_eligible,client_eligible
TR UW CHARLES I BRANAN,MO,26323595,1,1,0,0,5000,2022,t,t,
VERIZON FOUNDATION,NJ,25968957,3,5,0,0,100,2023,f,t,
MAVERICK CAPITAL FOUNDATION,TX,25961457,1,5,0,0,30000,2022,f,t,
TQL FOUNDATION INC,OH,25504333,1,1,0,0,2648,2023,t,t,
JOHN MOHME FOUNDATION,CA,24889025,1,3,0,0,10000,2024,f,t,
STEVEN AND BEVERLY RUBENSTEIN CHARITABLE,FL,24426677,1,3,0,0,1000,2023,f,t,
LOHENGRIN FOUNDATION INC,IL,24385443,1,2,0,0,30750,2023,f,t,
THE PATRICIA KIND FAMILY FOUNDATION,PA,24202438,1,1,0,0,10000,2022,t,t,
Challenger Foundation,NY,23094995,1,1,0,0,35000,2021,f,t,
FIRST FRUIT INC,CA,22660722,1,5,0,0,10000,2023,f,t,
THE GEOFFREY BEENE FOUNDATION,NY,22143948,1,1,0,0,1500,2019,f,t,
RONALD L MCDANIEL FOUNDATION,IL,21959722,1,3,0,0,20000,2024,f,t,
CAROLYN W & CHARLES T BEAIRD,LA,21854136,1,2,0,0,4800,2020,t,t,
OCTOBER MOUNTAIN FOUNDATION INC,NY,20420830,1,1,0,0,3000,2018,f,t,
First Interstate BancSystem Foundation,MT,20270202,1,1,0,0,575,2022,t,t,
CH ROBINSON WORLDWIDE FOUNDATION,SD,19235419,1,1,0,0,2510,2022,t,t,
THE GERSHWIND FAMILY FOUNDATION,NY,18316516,1,4,0,0,5000,2022,f,t,
The Gilbert and Jacki Cisneros Foundation,DE,16819666,1,2,0,0,5000,2019,f,t,
THE SANDY HILL FOUNDATION,NJ,16809231,1,3,0,0,10000,2023,f,t,
AETNA FOUNDATION INC,CT,16647339,1,1,0,0,372,2020,t,t,
ATL FDN-W PETERS MAIN,MO,16408229,1,1,0,0,10000,2022,t,t,
THE SMART FAMILY FUND,IL,16282187,1,8,0,0,55000,2023,f,t,
THE NATIONAL ARTS PROGRAM FOUNDATION,PA,16049972,1,2,0,0,6750,2024,f,t,
REALAN FOUNDATION INC,GA,15992466,1,2,0,0,20000,2022,f,t,
Patterson Family Foundation Inc,DE,15887185,1,2,0,0,7650,2019,t,t,
ALISANN AND TERRY COLLINS FOUNDATION,VA,15820013,1,4,0,0,35000,2023,f,t,
RICHARD AND JOAN RINGOEN FAMILY,CO,15020182,1,5,0,0,5000,2023,f,t,
PNM RESOURCES FOUNDATION,NM,14983568,1,1,0,0,10000,2020,t,t,
TA JOHN W AND ANNA H,NC,14361394,1,1,0,0,10000,2022,t,t,
ROBERT & JOAN DIRCKS FOUNDATION INC,MA,13967360,1,3,0,0,13750,2022,t,t,
TRUSTMARK FOUNDATION,IL,13466560,1,1,0,0,2200,2020,f,t,
Blue Cross and Blue Shield of Kansas,KS,13266048,1,5,0,0,2000,2023,t,t,
NANCY JONES BEARD FOUNDATION,NY,13054443,1,1,0,0,20000,2020,f,t,
RIC & SUZANNE KAYNE FOUNDATION,CA,13029662,1,4,0,0,676965,2022,f,t,
Henry L Kimelman Family Foundation,DE,13026680,1,3,0,0,5000,2023,f,t,
The Egerter Family Foundation,DE,11847867,1,2,0,0,6500,2023,f,t,
CARL R HENDRICKSON FAMILY FDN,TX,11694114,1,1,0,0,10000,2021,t,t,
Belvedere Cares Foundation,IL,11527775,1,3,0,0,5000,2022,f,t,
JOHN G & JEAN R GOSNELL FOUNDATION,MD,11511790,1,2,0,0,32500,2022,f,t,
GROSS FOUNDATION,FL,11496401,1,2,0,0,5000,2022,t,t,
LUTHER I REPLOGLE FOUNDATION,MD,11409043,1,6,0,0,6750,2023,t,t,
HELEN'S HOPE FOUNDATION,PA,11201162,1,2,0,0,37500,2023,f,t,
LEONARD & HILDA KAPLAN CHARITABLE,RI,10993096,1,3,0,0,15000,2024,t,t,
MODESTUS BAUER FOUNDATION,IL,10839481,1,4,0,0,7500,2023,f,t,
The Nord Foundation,CO,10813008,1,7,0,0,10020,2023,f,t,
From His Hand Foundation,IL,10739248,1,7,0,0,10000,2024,f,t,
EXCELERATE FOUNDATION INC,CA,10594262,1,5,0,0,5000,2021,f,t,
OPPENHEIM FAMILY FUND INC,NY,10255807,1,4,0,0,11000,2023,f,t,
MARY A CROCKER TRUST,CA,9742334,1,1,0,0,20000,2018,t,t,
WSFS CARES FOUNDATION,DE,9350263,1,1,0,0,25000,2022,t,t,
LAINOFF FAMILY FOUNDATION INC,NY,9330430,1,1,0,0,1000,2021,f,t,
The Bauer Family Foundation Inc,CT,9288662,1,3,0,0,10000,2023,f,t,
TD CHARITABLE FOUNDATION,ME,8961309,1,1,0,0,10000,2022,t,t,
CHILDREN CAN SHAPE THE FUTURE INC,PA,8454958,1,1,0,0,20000,2024,f,t,
