foundation_ein,foundation_name,foundation_state,match_score,match_probability,match_rank,same_state,original_score,adjusted_score,grant_type_match_pct,grant_type_grants,state_match_pct,adjusted_rank
237425882,THE AIDLIN FOUNDATION,CA,99.8,0.9979996532439112,36,True,99.8,69.9,0.0,0,97.67441860465115,19
822535232,BARBARA KORSCH WARD FOUNDATION,CA,99.8,0.9980549576535368,35,True,99.8,69.9,0.0,0,100.0,20
954438839,CARL W JOHNSON FOUNDATION,CA,99.9,0.9985632296588668,29,True,99.9,69.9,0.0,0,93.87755102040816,21
861941486,ALL FOR ARMENIA,CA,99.9,0.9985351251274392,30,True,99.9,69.9,0.0,0,100.0,22
200422957,THE COLLET FOUNDATION,CA,99.8,0.998140257578374,33,True,99.8,69.9,0.0,0,87.5,23
816571909,HURLEY MEMORIAL COLLEGE SCHOLARSHIP,CA,99.9,0.9991183306253162,23,True,99.9,69.9,0.0,0,100.0,24
953663674,KOREAN AMERICAN UNITED FOUNDATION,CA,99.9,0.9991408236084672,22,True,99.9,69.9,0.0,0,100.0,25
943272444,THE TAE FOUNDATION,CA,99.9,0.9993181503611216,20,True,99.9,69.9,0.0,0,100.0,26
453850225,R C BAKER FOUNDATION,CA,99.9,0.998512158763892,31,True,99.9,69.9,0.0,0,100.0,27
943155521,GGS FOUNDATION,CA,99.8,0.9983375348519016,32,True,99.8,69.9,0.0,0,94.11764705882352,28
205578380,MILDRED & MARIAN KIGER FOUNDATION,CA,99.9,0.9986447368810086,28,True,99.9,69.9,0.0,0,100.0,29
946079537,HARRISON MECHAM RELIEF FUND OF PETALUMA,CA,99.9,0.9987015749817252,27,True,99.9,69.9,0.0,0,100.0,30
237433359,AUTRY FOUNDATION,CA,99.8,0.9980658804196296,34,True,99.8,69.9,0.0,0,93.93939393939394,31
431262762,Enterprise Holdings Foundation,MO,100.0,0.9999570704942476,7,False,100.0,69.8,0.0,0,9.877910635619887,32
770437521,WATERFORD FOUNDATION,CA,99.6,0.996322158654921,43,True,99.6,69.8,0.0,0,100.0,33
824505043,SWIM FOR LIFE SRI LANKA,NJ,99.6,0.996023578311148,44,False,99.6,69.8,0.0,0,100.0,34
943116041,The Upjohn Fund of San Francisco,DE,99.6,0.995757141183304,47,False,99.6,69.8,0.0,0,100.0,35
824154533,PONY BARNES FOUNDATION,CA,99.6,0.99574356165318,48,True,99.6,69.8,0.0,0,100.0,36
954279684,THE JESS AND PALMA MORGAN FOUNDATION,CA,99.6,0.995908872091653,45,True,99.6,69.8,0.0,0,90.0,37
207464063,DORIS & DONALD FISHER FOUNDATION,CA,99.6,0.995785093988543,46,True,99.6,69.8,0.0,0,100.0,38
943343590,JOSEPH L BARBONCHIELLI AND,CA,99.7,0.997475922315528,38,True,99.7,69.8,0.0,0,100.0,39
208020006,Lin-Chang Family Foundation,CA,99.7,0.9973867488505128,39,True,99.7,69.8,0.0,0,100.0,40
882827921,ANDY WANG FAMILY FOUNDATION,CA,99.7,0.9972648293707872,40,True,99.7,69.8,0.0,0,100.0,41
841408199,GEORGE AND BETH WOOD FOUNDATION,CA,99.7,0.9966780764164376,42,True,99.7,69.8,0.0,0,94.44444444444444,42
946757910,MIKE & BEV GROENIGER COLLEGE SCHOLARSHIP,CA,99.5,0.9952972993944308,50,True,99.5,69.8,0.0,0,100.0,43
237049738,JPMORGAN CHASE FOUNDATION,NY,100.0,0.999998714777613,6,False,100.0,67.5,0.0,0,8.732462959147359,44
136123529,AMERICAN EXPRESS FOUNDATION,NY,99.9,0.9989299069401464,25,False,99.9,62.7,0.0,0,6.395783857640132,45
223769097,NSN Foundation Inc,NJ,100.0,1.0,2,False,100.0,50.0,0.0,0,0.0,46
411359579,US BANK FOUNDATION,WI,100.0,0.9999999999999672,3,False,100.0,50.0,0.0,0,0.0,47
471295073,ALFRED AND ISABEL BADER 2014 CHARITABLE TRUST,WI,100.0,0.9999999998410682,4,False,100.0,50.0,0.0,0,0.0,48
346516721,FREEDOM FORGE CORP FOUNDATION KISH BANK,PA,99.9,0.9992958063662456,21,False,99.9,49.9,0.0,0,0.0,49
20657534,ANDRE & KATHERINE MERAGE FOUNDATION,CA,99.5,0.9953851973370644,49,True,99.5,49.7,0.0,0,0.0,50
