foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
GREY ROCKS FOUNDATION INC,MA,58664273,0,2500,2023,f
ROBERT DAY FOUNDATION,CA,57038632,0,5000,2022,f
TR UW JACOB SCHMIDLAPP #1,OH,56897948,0,75000,2023,t
RICHMOND COUNTY SAVINGS FOUNDATION,NY,55965292,0,25000,2023,t
CONSUMERS ENERGY FOUNDATION,MI,55085639,0,300,2020,t
PPL FOUNDATION,PA,54065811,0,500,2023,f
FORREST C & FRANCES H,RI,52989756,0,5000,2021,f
THE CABOT FAMILY CHARITABLE TRUST,MA,52539263,0,22500,2020,f
THE GAGNON FAMILY FOUNDATION INC (FKA,NJ,51279891,0,10000,2019,f
TOWN FAIR TIRE FOUNDATION INC,MA,50362459,0,1000,2019,f
NATIONAL RECREATION FOUNDATION,IL,50284380,0,15000,2021,f
ROCKLAND TRUST CHARITABLE FOUNDATION,MA,50266676,0,10000,2023,t
KETCHUM CHARITABLE FOUNDATION INC,OK,49809941,0,17500,2023,t
MORGAN FAMILY FOUNDATION,OH,49554840,0,500,2022,t
RILEY MABEL LOUISE TR UWILL,PA,49133038,0,50000,2022,t
THE LAMPERT FOUNDATION,FL,48786466,0,25000,2020,f
THE JOSEPH MEYERHOFF FUND INC,MD,48446242,0,17500,2023,t
DRAPER RICHARDS KAPLAN FOUNDATION,CA,48438455,0,75000,2022,t
THE RAYMOND FRANKEL FOUNDATION,IL,48113886,0,3500,2024,t
THE ANJULICIA FOUNDATION,OR,47755962,0,10000,2023,t
AbbVie Foundation,IL,47404120,0,583,2019,f
LIBERTY MUTUAL FOUNDATION INC,MA,46556209,0,50000,2023,t
FISA FOUNDATION,PA,46217713,0,3750,2023,t
MILAN PUSKAR FOUNDATION INC,WV,45571128,0,50000,2022,f
William E Schrafft and Bertha E Schrafft Charitable Trust,MA,44500085,0,13750,2023,t
The Hoglund Foundation,TX,43845380,0,20000,2022,t
AMICA COMPANIES FOUNDATION,RI,43815872,0,175,2023,f
CHUBB CHARITABLE FOUNDATION,PA,43474175,0,30,2020,t
THE VIRGINIA WELLINGTON CABOT FOUNDATION,MA,43142424,0,20000,2022,t
BOTHIN FOUNDATION,CA,42569751,0,25000,2021,t
THE TAPESTRY FOUNDATION INC,NY,41449481,0,275,2021,f
The Once Here Foundation,MA,41062229,0,100000,2023,f
ALNOBA LEWIS FAMILY FOUNDATION,NH,40692932,0,143000,2023,f
A GARY ANDERSON FAMILY FOUNDATION,NV,40024465,0,25000,2023,t
LOCKHART VAUGHAN FOUNDATION,MD,37562249,0,20000,2023,t
UEBERROTH FAMILY FOUNDATION,CA,37463070,0,6000,2019,t
THE DEVONSHIRE FOUNDATION,MA,36771212,0,102500,2023,f
ANALOG DEVICES FOUNDATION,MA,35836306,0,1284,2023,t
THE NORDSON CORPORATION FOUNDATION,OH,34190711,0,5000,2022,t
THE PETER AND JERI DEJANA FAMILY FOUNDATION,NY,33617454,0,5000,2019,t
ODELL RS & HP FUND TUA-MAIN,NV,33260003,0,75000,2023,t
THE RONDA E STRYKER AND WILLIAM D,MI,33051548,0,160000,2023,t
DICK'S SPORTING GOODS FOUNDATION,PA,32857570,0,10000,2023,t
THE ROBERT F STOICOFIRSTFED CHARITABLE,MA,32408974,0,5000,2024,t
VERMEER CHARITABLE FOUNDATION,IA,32279781,0,10000,2022,f
HERBERT BEARMAN FOUNDATION,MD,32169305,0,10000,2023,t
The Vincent Dowling Family Foundation Inc,DE,31504108,0,250,2023,f
COMMERCE BANCSHARES FOUNDATION,MO,30301246,0,2000,2020,t
FOGLIA FAMILY FOUNDATION,IL,30132706,0,5000,2021,f
The Broder Family Foundation Inc,DE,29931790,0,5000,2020,f
THE HENRY AND RUTH BLAUSTEIN ROSENBERG,MD,29551418,0,20000,2023,f
Sapphire Foundation Inc,DE,29413297,0,4301,2022,f
SCATTERGOOD BEHAVIORAL HEALTH,PA,29281247,0,10000,2023,t
TRADEWIND GROUP FOUNDATION,HI,29210343,0,5000,2023,t
EQT FOUNDATION,PA,29043383,0,300,2023,t
JOHN & AMY GRIFFIN FOUNDATION,NY,28630400,0,10000,2020,f
WJO FOUNDATION,CA,27808845,0,25000,2023,f
DOROTHY U DALTON FOUNDATION INC,MI,27415982,0,50000,2019,f
ALBEMARLE FOUNDATION,NC,27297981,0,1500,2022,t
THE HERMINE AND DAVID HELLER FOUNDATION,NY,26774241,0,17500,2022,f
LA-Z-BOY FOUNDATION,MI,26398882,0,2000,2023,t
BELZ FOUNDATION,TN,26137435,0,200,2020,f
VERIZON FOUNDATION,NJ,25968957,0,750,2023,f
MARVIN AND ROSALIE OKUN FOUNDATION,MI,25760831,0,110000,2019,t
MATTHEW KELLY FAMILY FOUNDATION,CA,25545653,0,10000,2023,f
THE LEBHERZ FAMILY FOUNDATION,CA,24843778,0,500,2023,f
CENTREVILLE SAVINGS BANK CHARITABLE,RI,24836567,0,5000,2022,t
THE WEEZIE FOUNDATION XXXXX0005,IL,24828534,0,55000,2023,t
LG&E AND KU FOUNDATION INC,KY,24747920,0,1000,2024,t
THE GRACO FOUNDATION,MN,24746486,0,1000,2023,t
THE ADJUVANT FOUNDATION,IL,24394133,0,10000,2020,f
WILLIAM STUCKI HANSEN FOUNDATION,PA,24299273,0,75000,2023,t
THE PATRICIA KIND FAMILY FOUNDATION,PA,24202438,0,20000,2023,t
IRENE W AND C B PENNINGTON FOUNDATION,LA,23932437,0,50000,2022,f
ELSA M HEISEL SULE CHARITABLE TRUST 2005,KY,23680220,0,8000,2019,t
CHARLES FOUNDATION INC,NJ,23135327,0,5000,2023,f
SATYA AND RAO REMALA FOUNDATION,WA,22878793,0,500,2023,f
H & H LEE CHARITABLE FOUNDATION,CA,22325746,0,80000,2023,f
THE BIRMINGHAM FOUNDATION,PA,22265483,0,70000,2022,t
ROGERS FAMILY FOUNDATION,MA,21949955,0,15000,2023,t
QUONOCHONTAUG FOUNDATION,MA,20449988,0,10000,2020,f
BRISTOL COUNTY SAVINGS CHARITABLE,MA,20395475,0,40000,2022,t
First Interstate BancSystem Foundation,MT,20270202,0,240,2023,t
THE MALOU FOUNDATION,CA,20131899,0,10000,2023,f
CROUL FAMILY FOUNDATION,CA,19556832,0,15000,2020,t
Donnie Williams Foundation Inc,MD,19525594,0,5000,2023,t
Blue Cross Blue Shield of North Dakota Caring Foundation,ND,19266790,0,350,2023,t
CH ROBINSON WORLDWIDE FOUNDATION,SD,19235419,0,105,2022,t
THE FREMONT GROUP FOUNDATION,CA,19051965,0,1000,2023,f
BERKSHIRE BANK FOUNDATION INC,MA,18644149,0,10000,2023,t
RALPH R PAPITTO AND BARBARA A PAPITTO,RI,18618067,0,12500,2023,t
Tina and Richard V Carolan Foundation,NJ,18582549,0,15000,2022,t
THE KIM AND DAVID WAGMAN FOUNDATION,NY,18446983,0,10000,2023,f
HAROLD AND GRACE UPJOHN FOUNDATION,MI,17671245,0,6750,2022,t
FLEISCHNER FAMILY CHARITABLE FOUNDATION,PA,17638842,0,7500,2024,f
GE FOUNDATION,CT,17339609,0,200,2023,t
EDWARD J & VIRGINIA M ROUTHIER FOUNDATION,RI,17006592,0,5000,2020,f
AETNA FOUNDATION INC,CT,16647339,0,216,2020,t
BUSHROD H CAMPBELL & ADAH F HALL,MA,15934902,0,5000,2023,f
THE BRENT & ANN WILSON FOUNDATION,UT,15749807,0,85000,2020,f
THE JOSEPH & MERCEDES MCMICKING,CA,15609066,0,10000,2021,t
ERNST & ELFRIEDE FRANK FOUNDATION INC,NY,15484687,0,2500,2020,f
THE DON RODMAN FAMILY FOUNDATION,MA,15238610,0,5000,2022,f
PNM RESOURCES FOUNDATION,NM,14983568,0,1000,2019,t
Institution for Savings in Newburyport &,MA,14836602,0,1500,2023,t
YVONNE & LESLIE POLLACK FAMILY,NY,14694872,0,2074,2023,f
GSF FOUNDATION,CA,14239546,0,11000,2020,f
SEMPRA FOUNDATION,CA,14132710,0,2400,2023,f
APMPFF INC,IL,13676607,0,10500,2023,f
MFS Investment Management Foundation Inc,MA,13638119,0,50000,2023,f
LAMB WESTON CHARITABLE FOUNDATION,ID,13539943,0,50,2020,f
MYRA FOUNDATION,ND,13339293,0,10000,2023,t
AMERICAN EAGLE OUTFITTERS FOUNDATION,PA,13290974,0,2500,2023,t
MCKINNEY CHARITABLE FOUNDATION,PA,13109232,0,20000,2024,t
INVESTORS FOUNDATION INC,NJ,12987964,0,2500,2021,f
WILLIAM M & ANN K GRACE FOUNDATION,AZ,12772374,0,1000,2023,t
WILTON AND EFFIE HEBERT FOUNDATION,TX,12730132,0,30813,2024,t
THE BRAVO FOUNDATION,CA,12718639,0,10000,2021,f
THE AVISTA FOUNDATION,WA,12636988,0,200,2023,t
WILLIAMS FOUNDATION,OH,12450191,0,25000,2023,f
THE W BRADFORD INGALLS,FL,12378885,0,5000,2024,t
THE DE RAMEL FOUNDATION,RI,12219182,0,2500,2018,f
COLKET FAMILY FOUNDATION,PA,11570136,0,10000,2022,t
Leon J Simkins Charitable Foundation,FL,11552892,0,4500,2019,f
LUTHER I REPLOGLE FOUNDATION,MD,11409043,0,5000,2023,t
PETER H AND E LUCILLE GAASS KUYPER,IA,11289987,0,50000,2022,t
AMERICAN TOWER CHARITABLE FOUNDATION,MA,11187548,0,52,2023,f
SPM FOUNDATION INC,MD,10971639,0,1750,2023,f
ROCKVILLE BANK COMMUNITY FOUNDATION INC,CT,10947062,0,2500,2018,t
ROGER & SYBIL FERGUSON CHARITABLE F,ID,10664935,0,3000,2023,f
Gift of Good Foundation,DE,10605370,0,5000,2024,f
ANNA B STEARNS CHARITABLE FOUNDATION INC,MA,10503584,0,16000,2022,f
GIUSTINA FOUNDATION,OR,10297632,0,2500,2023,f
BAZARSKY FAMILY FOUNDATION,RI,10287950,0,250,2021,f
HAMILTON FAMILY FOUNDATION,PA,10250059,0,10000,2018,t
Pat & Tom Frost Foundation F0731600,TX,10058117,0,20000,2023,f
ASSOCIATION OF CHARLES EVANS HOUSING FOUNDATION,NY,10049711,0,10000,2018,f
PENLAND FOUNDATION,TX,9921452,0,250,2019,t
NAVIGANT CREDIT UNION CHARITABLE,RI,9782275,0,10000,2023,t
MIRAMAR CHARITABLE FOUNDATION,KY,9432424,0,11000,2022,f
CARNAHAN-JACKSON FOUNDATION,PA,9265626,0,650,2022,t
TEXTRON CHARITABLE TRUST DTD 122353,RI,9131813,0,2875,2023,t
BMI-RUPP FOUNDATION,NJ,9099627,0,1750,2019,t
Bierly Boasberg Foundation,MA,8731182,0,102,2019,t
The Yelp Foundation,CA,8560195,0,260,2018,f
MASSMUTUAL FOUNDATION INC,MA,8554000,0,10000,2022,f
Andrew Family Foundation,IL,8533460,0,2000,2021,f
EDMUND & BETSY CABOT CHARITABLE FNDN,MA,8452805,0,2000,2022,f
THE PLANK FAMILY FOUNDATION INC,MD,8372334,0,125000,2023,t
THE DANNER FOUNDATION,TN,8343607,0,2500,2022,t
EAGAN FAMILY FOUNDATION INC,NJ,8297213,0,1000,2023,t
THE FISH FAMILY FOUNDATION,MA,8223507,0,8938,2021,f
TR UA 06162003,NY,8203238,0,37500,2019,f
TERRI & ROLAND STURM FAMILY FOUNDATION,NV,8180762,0,5000,2023,f
The Red Cabin Foundation Trust,DE,8090551,0,5000,2022,f
ASSURANT FOUNDATION,GA,8089617,0,24,2023,f
FARALLON FOUNDATION,CA,8015170,0,500,2022,f
GODLEY FAMILY FOUNDATION,RI,7937145,0,5000,2019,f
EBS FOUNDATION,TN,7927930,0,1000,2023,f
THE PAUL & HARRIET WEISSMAN FAMILY,NY,7826158,0,2000,2023,f
Dimick Foundation,DC,7777965,0,2500,2022,t
QUAKER CITY FOUNDATION,PA,7620391,0,50000,2023,f
WILLIAM E CROSS FOUNDATION INC,MD,7615487,0,1000,2022,t
HELIOS FOUNDATION,WI,7615218,0,10000,2023,t
THE BANK OF AMERICA CHARITABLE,NC,7556845,0,325,2023,t
SNAVE FOUNDATION,MA,7513240,0,300,2023,f
Republic Bank Foundation Inc,KY,7464374,0,7525,2023,f
HARRY M MIRIAM C WILL C HORTON F,TX,7462014,0,3000,2024,t
LPL Financial Foundation Inc,MA,7406176,0,500,2021,f
THE SETTON FOUNDATION,NY,7389999,0,750,2023,f
V V COOKE FOUNDATION CORPORATION,KY,7264562,0,2750,2020,t
Arthur J Gallagher Foundation,IL,7239988,0,200,2023,f
SMITH-BARBIERI PROGRESSIVE FUND,WA,7225149,0,5000,2023,f
THE LEVITT FOUNDATION,MD,7201453,0,13750,2023,f
FRED L HARTLEY FAMILY FOUNDATION,MT,7118165,0,25000,2020,f
FOUNDATION FOR GLOBAL SPORTS DEVELOPMENT,CA,6973203,0,25000,2020,t
THE LANGERMAN FAMILY FOUNDATION INC,NJ,6911101,0,2000,2023,f
PATRICIA KISKER FOUNDATION,OH,6907206,0,25000,2022,t
CHAPMAN FAMILY FOUNDATION,CA,6776797,0,8700,2019,f
THE NICHOLSON FAMILY FOUNDATION,CA,6765169,0,5000,2023,t
GPD GROUP EMPLOYEES FOUNDATION INC,OH,6724456,0,2000,2023,t
CRETORS FAMILY FOUNDATION,IL,6685579,0,5000,2023,f
GR'S FOUNDATION,KS,6658826,0,2500,2024,f
CARMAX FOUNDATION,VA,6642085,0,1000,2020,t
THE RICH FOUNDATION,IL,6576569,0,2000,2018,f
The John J Leidy Foundation Inc,MD,6397158,0,6250,2023,t
SHAUGHNESSY CHARITABLE TRUST,MA,6225786,0,2500,2019,f
DUKE ENERGY FOUNDATION,NC,6181774,0,614,2022,t
SOL TAPLIN CHARITABLE FOUNDATION,FL,6111381,0,33000,2023,t
THE IRVING AND GERALDINE SCHAFFER,NY,6095836,0,300,2023,t
THE NEW ENGLAND FOUNDATION,MA,6064324,0,500,2022,t
GIUS FOUNDATION,WA,6063281,0,20000,2023,f
MONDERER FOUNDATION INC,NY,6058101,0,5000,2023,f
RAYMOND ZIMMERMAN FAMILY FOUNDATION,FL,6052051,0,36,2021,f
DAVID & MOLLY PYOTT FOUNDATION,CO,6023111,0,32250,2023,f
The Miner Anderson Family Foundation,DE,5565006,0,15000,2020,f
WI PATTERSON CHARITABLE FUND,PA,5508370,0,3500,2023,t
MACELREE FAMILY FOUNDATION,PA,5475845,0,5000,2019,f
MIRNAHILL FOUNDATION,CA,5395866,0,8750,2023,f
COLEMAN FOUNDATION,TX,5380825,0,8078,2023,t
RABE FAMILY FOUNDATION INC,MA,5321212,0,500,2022,f
Pettit Family Charitable Foundation,MD,5294288,0,1500,2023,t
Pegler Family Foundation,NE,5243260,0,25000,2023,t
