ein,org_name,state,city,sector,website,employee_count,volunteer_count,total_revenue,total_expenses,contributions_grants,program_service_revenue,grant_dependency_pct,num_foundation_grants,num_unique_funders,total_foundation_grant_amount,icp_score,fundraising_likelihood_score,mission_statement,fiscal_year_end_month,program_revenue_pct,volunteer_to_employee_ratio
851248085,BETHEL SHELTERS,SC,ROCK HILL,P,BETHELSHELTERS.ORG,45,1500,1170523.00,1033167.00,1156626.00,65.00,98.81,2,2,200.00,11,8,"TO PROVIDE EMERGENCY SHELTER TO HOMELESS MEN IN THE COMMUNITY, AS WELL AS TRANSPORTATION, FOOD, AND CASE MANAGEMENT SERVICES.",12,0.0,33.33
911445025,ARLINGTON COMMUNITY FOOD BANK,WA,Arlington,P,www.arlingtonfoodbank.org,13,197,3329230.00,3645152.00,3312689.00,0.00,99.50,1,1,50.00,11,8,The Arlington Community Food Bank's mission is to help end hunger in our community at its root cause.,12,0.0,15.15
910881434,KENT FOOD BANK AND EMERGENCY SERVICES,WA,KENT,P,N/A,3,86,2420314.00,2417445.00,2418710.00,0.00,99.93,0,0,0,10,8,PROVIDES THE KENT COMMUNITY WITH A FOOD AND CLOTHING BANK AND EMERGENCY AID ASSISTANCE.,12,0.0,28.67
813014160,HOWARD COUNTY VETERANS FOUNDATION INC,MD,MOUNT AIRY,P,HTTPS://WWW.HOWARDCOUNTYVETERANS.ORG,1,30,1813274.00,246699.00,1790598.00,22676.00,98.75,1,1,10000.00,10,8,"THE HOWARD COUNTY VETERANS FOUNDATION, INC. IS TO PROVIDE EDUCATION, AWARENESS AND ADVOCACY FOR THE NEARLY 20,000 VETERANS AND THEIR FAMILIES WHO CALL HOWARD COUNTY, MARYLAND HOME.",12,1.3,30.00
061712493,Marion County Children's Alliance Inc,FL,Ocala,P,www.mcchildrensalliance.org,6,275,852001.00,786426.00,815498.00,0.00,95.72,1,1,5000.00,9,8,"The mission of the Marion County Childrens Alliance is to improve the lives of Marion County children. We do this through purpose, passion, partnership and presence.",12,0.0,45.83
113662636,FIRST CHANCE FOR CHILDREN,MO,COLUMBIA,B,WWW.FIRSTCHANCEFORCHILDREN.ORG,9,120,786241.00,836648.00,791374.00,0.00,100.65,3,3,14250.00,9,8,FIRST CHANCE FOR CHILDREN PROVIDES EARLY CHILDHOOD PROGRAMS AND FAMILY RESOURCES THAT SUPPORT SAFE AND HEALTHY OUTCOMES FOR CHILDREN AND FAMILIES ACROSS MISSOURI.,12,0.0,13.33
743200194,FORGOTTEN CHILDREN INC,CA,LONG BEACH,P,www.fci-la.org,13,100,1285470.00,1175521.00,1285470.00,0.00,100.00,6,6,251300.00,9,8,Our mission is to rescue restore educate and bring hope to victims of human trafficking and sexual exploitation. Our services include Advocacy 180 Intervention Program at our Drop-In and Resource Center Street Outreach and Emergency and Emergency and Long-term Housing. Our purpose is to love the girls back to life. All services are free to victims of human trafficking and sexual exploitation.,12,0.0,7.69
462096160,DENVER FOOD RESCUE,CO,DENVER,K,WWW.DENVERFOODRESCUE.ORG,13,299,1520634.00,1432661.00,1382898.00,78793.00,90.94,2,2,7400.00,9,8,TO REDUCE FOOD WASTE AND INCREASE HEALTHY FOOD ACCESS WITH DENVER RESIDENTS.,12,5.2,23.00
651185517,HAWAII WILDFIRE MANAGEMENT,HI,KAMUELA,C,HWMO.ORG,9,108,1063134.00,779144.00,1058103.00,2000.00,99.53,3,3,2653.00,9,8,"SERVE AS THE PRIMARY HUB OF WILDFIRE PREVENTION, MITIGATION AND PLANNING ACTIVITIES IN THE HAWAII PACIFIC REGION THROUGH PROACTIVE, COLLABORATIVE AND FORWARD THINKING PROJECTS.",12,0.2,12.00
800100930,STUDENT REACH,CA,SACRAMENTO,O,N/A,1,25,1531766.00,1569380.00,1488366.00,0.00,97.17,0,0,0,9,8,TO PROMOTE STUDENT OUTREACH INTO LOCAL AND FOREIGN MISSIONS.,12,0.0,25.00
