ein,org_name,state,sector,ntee_code,total_revenue,employee_count,website,mission_statement,icp_score,revenue_band,emp_band
710932352,Weston Ranch Foundation,TX,A,A11,2529550.00,0,www.westonranchfoundation.org,Supporting Organization for Texas Lutheran University,8,$2M-$3.5M,Unknown
550719285,WEST VIRGINIA PUBLIC BROADCASTING FOUNDA,WV,A,A110,1409736.00,0,WWW.WVPUBCAST.ORG,"THE WV BROADCASTING FOUNDATION SERVES AND SUPPORTS PUBLIC BROADCASTING. THE FOUNDATION ADVOCATES AND WORKS ON BEHALF OF WV PUBLIC BROADCASTING TO ENSURE ALL CITIZENS ACCESS TO QUALITY PUBLIC BROADCASTING SERVICES. TO THIS END, THE FOUNDATION SEEKS, ACCEPTS AND HOLDS AS STEWARDS GIFTS, GRANTS AND OTHER CONTIRUBTIONS FOR THESE PURPOSES.",8,$1M-$2M,Unknown
833451365,ECONOMIC FUNDAMENTALS INITIATIVE,NJ,A,A30,1175003.00,0,WWW.ECONFUN.ORG,"TRANSLATION, PUBLICATION AND PROMOTION OF ECONOMICS TEXTBOOK(S) FOR CENTRAL AND EASTERN EUROPE AND THE COUNTRIES OF THE FORMER SOVIET UNION.",8,$1M-$2M,Unknown
261937727,MAKOR HEBREW FOUNDATION INC,TX,B,B90,851286.00,3,WWW.MAKORHEBREW.ORG,DEDICATED TO THE UNCOVERING & DISSEMINATING INFORMATION ABOUT THE HEBREW SOURCES OF THE JEWISH AND CHRISTIAN FAITHS,8,$500K-$1M,1-5
271363698,MARYLAND CENTER FOR CONSTRUCTION,MD,B,B90,688928.00,5,WWW.MCCEI.ORG,"MCCEI'S MISSION IS TO INSPIRE, EDUCATE, AND CONNECT A DIVERSE POPULATION TO CAREERS IN THE BUILT ENVIRONMENT.",9,$500K-$1M,1-5
852428825,Children First Education Fund,UT,B,B82,2523154.00,3,www.cfe-fund.org,To proide school choice for students with disabilities.,10,$2M-$3.5M,1-5
473573157,CB COMMUNITY SCHOOLS,PA,B,B20,1489067.00,27,HTTPS://CBCOMMUNITYSCHOOLS.ORG/,"THE MISSION IS TO PROVIDE VULNERABLE, SYSTEM-INVOLVED YOUTH WITH A SOCIAL, EMOTIONAL AND COMPETENCY BASED SCHOOL THAT PREPARES THEM TO GRADUATE FROM HIGH SCHOOL WITH A PATH FORWARD TO INDEPENDENCE.",9,$1M-$2M,16-50
942198276,WEST SANTA ROSA LOCAL,CA,B,B22Z,706903.00,23,WWW.MULTICUTURALPRESCHOOL.ORG,"THE MISSION OF THE CENTER IS TO PROVIDE QUALITY PRESCHOOL EDUCATION TO CHILDREN AND SUPPORT TO THEIR FAMILIES BY PROVIDING AN ENRICHED ENVIRONMENT THAT FOSTERS WONDER, CURIOSITY, AND A GENUINE PLEASURE IN LEARNING.",10,$500K-$1M,16-50
061780131,GLACIAL HILLS ELEMENTARY SCHOOL,MN,B,B29,2034254.00,45,WWW.GLACIALHILLS.ORG,"TO TEACH RURAL, K-6 STUDENTS AN APPRECIATION OF LOCAL AND GLOBAL ENVIRONMENTS, AND ENCOURAGE ACADEMIC EXCELLENCE LEADING TO PRODUCTIVE, RESPONSIBLE AND CARING CITIZENS. THE PRIMARY FOCUS OF OUR EDUCATION OTHER THAN THE CORE CURRICULUM, IS ENVIRONMENTAL EDUCATION.",11,$2M-$3.5M,16-50
753166533,THE SUMMIT PREPARATORY SCHOOL OF,MO,B,B20,2649823.00,60,WWW.THESUMMITPREP.ORG,TO PREPARE LEARNERS FOR SUCCESS BY PROVIDING A PROGRESSIVE EDUCATION IN A UNIQUELY CHALLENGING AND SUPPORTIVE ENVIRONMENT AND INSPIRE LIFE-LONG LEARNERS.,8,$2M-$3.5M,50+
770549803,SANTA BARBARA PARTNERS IN EDUCATION,CA,B,B129,919651.00,101,WWW.PARTNERS.SBCEO.ORG,"OUR MISSION IS TO EMPOWER STUDENTS FOR THE WORLD AHEAD THROUGH BUSINESS, SCHOOL, AND COMMUNITY COLLABORATION. WE DO THIS BY CREATING AND SUPPORTING INSPIRING, SKILL-BUILDING OPPORTUNITIES FOR YOUTH ALONG THEIR TK-12 JOURNEY.",9,$500K-$1M,50+
860956007,GREAT EXPECTATIONS ACADEMY,AZ,B,B24,2645685.00,56,GEAGECKOS.ORG,"TO PREPARE STUDENTS TO BECOME COMPETENT, LITERATE, PRODUCTIVE CITIZENS",10,$2M-$3.5M,50+
