rank,foundation_ein,foundation_name,foundation_state,assets,open_to_apps,geo_eligible,target_grants,gold_standard,total_grants,total_giving,median_grant,siblings_funded,last_grant_yr,last_target_yr,tier
118,650538042,GUBELMANN FAMILY FOUNDATION INC,FL,1827428,f,t,0,0,1,2000,2000,1,2022,,D - Geo only
121,201216666,Clara Foundation Inc,MA,18791,f,t,0,0,6,1500,250,1,2024,,D - Geo only
121,136880147,MARTIN D & JEAN SHAFIROFF FOUNDATION,NY,2349363,f,t,0,0,1,1500,1500,1,2023,,D - Geo only
121,472283160,Parady Cares Foundation Inc,FL,32799,f,f,0,0,1,1500,1500,1,2018,,E - Neither
121,050502720,JOAN PARKOS MORAN FAMILY FOUNDATION,FL,182582,f,t,0,0,3,1500,500,1,2023,,D - Geo only
121,136106471,ERNST & ELFRIEDE FRANK FOUNDATION INC,NY,15484687,f,t,0,0,1,1500,1500,1,2019,,D - Geo only
126,260335499,BOB & STACY SCHMETTERER FOUNDATION INC,NY,36047,f,f,0,0,1,1000,1000,1,2019,,E - Neither
126,463900344,ROBERT L SIMMONS FOUNDATION INC,FL,19815,f,f,0,0,1,1000,1000,1,2020,,E - Neither
126,363152002,HOCHBERG FAMILY FOUNDATION,IL,9460608,f,t,0,0,2,1000,500,1,2019,,D - Geo only
126,516021414,AC Israel Foundation Inc,NY,17934168,f,t,0,0,1,1000,1000,1,2022,,D - Geo only
126,814450711,Gentle Lion,OR,617688,f,f,0,0,1,1000,1000,1,2022,,E - Neither
126,541141818,WARDS CORNER LIONS CLUB CHARITY,VA,415339,f,f,0,0,2,1000,500,1,2024,,E - Neither
132,223100739,MCCUTCHIN-COLLINS CHARITABLE TRUST MASS 031292,MA,0,f,t,0,0,4,900,300,1,2023,,D - Geo only
133,760522431,Hackett Family Foundation,DE,103685,f,t,0,0,1,500,500,1,2018,,D - Geo only
134,833126167,Hollerbachs Has Heart,FL,2167,f,f,0,0,1,390,390,1,2022,,E - Neither
135,266153797,CONSIDINE-REILLY CHARITABLE FOUNDAT,NY,811501,f,t,0,0,1,250,250,1,2023,,D - Geo only
135,061484189,THE TOLLER FAMILY FOUNDATION,TX,464183,f,t,0,0,1,250,250,1,2019,,D - Geo only
135,050545292,The Repass-Rodgers Foundation Inc,DE,6872650,f,t,0,0,1,250,250,1,2018,,D - Geo only
135,208054616,JAMES T AND DIANA P BARNES,FL,2616979,f,t,0,0,1,250,250,1,2021,,D - Geo only
139,251753903,THE BRUNO & LENA DEGOL FAMILY FOUND,PA,4802617,f,t,0,0,1,150,150,1,2020,,D - Geo only
140,133156497,ASSURANT FOUNDATION,GA,8089617,f,t,0,0,2,126,63,1,2021,,D - Geo only
141,112648449,HANNAH & ROBERT JUDELSON FOUNDATION INC,NY,20579,f,t,0,0,1,100,100,1,2023,,D - Geo only
142,236261726,THE CIGNA GROUP FOUNDATION,PA,129315317,t,f,0,0,1,70,70,1,2023,,D - Open only
143,133319048,VERIZON FOUNDATION,NJ,25968957,f,t,0,0,1,50,50,1,2020,,D - Geo only
144,822935158,SYNCHRONY FOUNDATION,CT,88394943,f,t,0,0,1,25,25,1,2020,,D - Geo only
