foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
ATHERTON FAMILY FOUNDATION,HI,90744784,0,20000,2020,t
STEPHEN & MARY BIRCH FOUNDATION INC,DE,90381444,0,10000,2023,t
PFAFFINGER FOUNDATION,CA,89100108,0,10000,2018,t
SYNCHRONY FOUNDATION,CT,88394943,0,1040,2020,f
THE HYDE AND WATSON FOUNDATION,NJ,87251751,0,10000,2023,t
DEL E WEBB FOUNDATION,AZ,84177133,0,50000,2019,t
JOAN AND TIM FENTON FAMILY FOUNDATION,UT,84002602,0,15000,2023,t
THE R C DURR FOUNDATION INC,KY,83776120,0,9000,2023,t
THE BAHNIK FOUNDATION INC,NY,81963351,0,5000,2024,f
ALLY CHARITABLE FOUNDATION,NC,81746335,0,10000,2023,t
THE RAWLEY FOUNDATION XXXXX0008,IL,79630240,0,30000,2023,f
THE ALLSTATE FOUNDATION,IL,77865078,0,5000,2023,t
John S Dunn Foundation,TX,76848487,0,5000,2023,t
VAN AMERINGEN FOUNDATION INC,NY,75596358,0,75000,2020,t
CINNAIRE CORPORATION,MI,73402742,0,10000,2022,f
Dean and Margaret Lesher Foundation,CA,72758653,0,5000,2022,t
METTA FUND,CA,72278914,0,35000,2024,f
AMERICAN EXPRESS FOUNDATION,NY,71012960,0,130,2022,t
THE VALLEY FOUNDATION,CA,70531065,0,10000,2019,f
BRISTOL-MYERS SQUIBB FOUNDATION INC,NJ,68802568,0,600,2023,t
MARRINER S ECCLES FOUNDATION,UT,68513383,0,2500,2023,f
SEPHARDIC HOME FOR THE AGED FOUNDATION,NY,67601683,0,10000,2022,t
Rice Foundation,IL,66938151,0,10000,2023,f
VIVIAN L SMITH FOUNDATION,TX,66740659,0,20000,2023,t
BAXTER INTERNATIONAL FOUNDATION,IL,66398025,0,200,2020,f
The H & R Block Foundation,MO,66354706,0,32500,2018,t
TEXAS INSTRUMENTS FOUNDATION,TX,65955596,0,10000,2023,t
STATE EMPLOYEES CREDIT UNION FOUNDATION,NC,65685078,0,250000,2022,t
KOPP FAMILY FOUNDATION,MN,65506471,0,5000,2021,f
MARDAG FOUNDATION,MN,63483716,0,15000,2022,t
THE ROS FOUNDATION,WI,61469401,0,10000,2024,t
THE BEVERIDGE FAMILY FOUNDATION,MA,60560634,0,2500,2020,t
MAX & VICTORIA DREYFUS FOUNDATION INC,DC,60402786,0,9000,2022,t
THE REINBERGER FOUNDATION,OH,59759570,0,25000,2018,f
CRABBY BEACH FOUNDATION,OR,57556611,0,25000,2023,f
WAYNE & JO ANN MOORE CHARITABLE,TX,57172533,0,25000,2022,f
GARY E MILGARD FAMILY FOUNDATION-LORI,WA,56338219,0,25000,2020,t
EDWARDS LIFESCIENCES FOUNDATION,CA,56296533,0,2500,2023,t
DWANE L AND VELMA LUNT WALLACE,KS,55938181,0,250000,2019,t
CONSUMERS ENERGY FOUNDATION,MI,55085639,0,5000,2023,t
Andersen Corporate Foundation,MN,54635606,0,2000,2022,t
REYNOLDS AMERICAN FOUNDATION,NC,54263213,0,1000,2022,t
T GARY AND KATHLEEN ROGERS PRIVATE,CA,53684376,0,5000,2019,t
LAWRENCE & JANET DEE FOUNDATION,UT,53149013,0,5000,2020,t
THE CHATLOS FOUNDATION INC,NY,51699741,0,5000,2023,t
MARKS FAMILY FOUNDATION,CA,51414254,0,300000,2022,f
GREEN BAY PACKERS FOUNDATION,WI,51398422,0,4000,2020,t
THE ROCK FOUNDATION,CA,50837780,0,100000,2022,f
Strickland Family Foundation,NC,50787418,0,15500,2023,t
ROCKLAND TRUST CHARITABLE FOUNDATION,MA,50266676,0,5000,2018,t
THE THOMAS AND AGNES CARVEL FOUNDATION,NY,49177623,0,50000,2019,t
HARRY A AND MARGARET D TOWSLEY,MI,48887367,0,50000,2019,t
JERRY C DEARING FAMILY FOUNDATION,TX,48827101,0,10000,2022,f
DELTA DENTAL COMMUNITY CARE FOUNDATION,CA,47957742,0,15000,2024,f
ABRA PRENTICE FOUNDATION INC,IL,47655463,0,55000,2023,f
AbbVie Foundation,IL,47404120,0,200,2020,f
LILY AUCHINCLOSS FOUNDATION INC,NY,47397691,0,25000,2023,f
BAXTER TRUST CO PRIVATE FOUNDATION SERVICES,TX,47141050,0,50000,2023,f
ISAAC H TUTTLE FUND,NY,44939347,0,35000,2023,t
STRAKE FOUNDATION,TX,44824735,0,10000,2023,t
Pacific Youth Foundation,CA,44573365,0,10000,2020,t
AMICA COMPANIES FOUNDATION,RI,43815872,0,175,2023,f
CHUBB CHARITABLE FOUNDATION,PA,43474175,0,112,2023,t
PETER C & EMAJEAN COOK FOUNDATION,MI,43422630,0,4000,2023,t
THE HUBBARD BROADCASTING FOUNDATION,MN,42837929,0,1000,2023,t
BOTHIN FOUNDATION,CA,42569751,0,19750,2018,t
MARJORIE LINDSEY CHARITABLE TRUST UAD,NJ,41830794,0,115000,2023,f
THE TAPESTRY FOUNDATION INC,NY,41449481,0,10000,2021,f
LAIRD NORTON FAMILY FOUNDATION,WA,41347583,0,2000,2020,f
GEORGE M EISENBERG FOUNDATION,IL,41271298,0,7500,2023,t
MARY J HUTCHINS FOUNDATION INC,NY,41053609,0,20000,2023,f
FRED AND MABEL R PARKS FOUNDATION,TX,40553042,0,10000,2023,t
Johnson Foundation of the Rockies,DE,40039052,0,27500,2023,f
David Kelby Johnson,UT,39754514,0,10000,2023,f
Hill-Snowdon Foundation,DC,39351265,0,2500,2022,f
THE SHERMAN FAMILY FOUNDATION,KS,39005248,0,5000,2023,f
DOROTHY CATE AND THOMAS F FRIST,TN,38836735,0,1000,2023,f
TELLIGEN COMMUNITY INITIATIVE,IA,38125445,0,2500,2023,f
KLA FOUNDATION,CA,37846768,0,25000,2023,f
PSEG FOUNDATION INC,NJ,37026670,0,1000,2023,f
The Westfield Insurance Foundation,OH,36125493,0,5000,2022,t
ISSA FAMILY FOUNDATION,CA,36046011,0,25000,2022,f
ANALOG DEVICES FOUNDATION,MA,35836306,0,375,2021,t
RICHARD S SHINEMAN FOUNDATION,NY,35628932,0,2500,2023,t
THE SUDBURY FOUNDATION,MA,35452264,0,5000,2023,t
OPPENSTEIN BROTHERS FOUNDATION,MO,34946125,0,8000,2024,t
CHARLES SCHWAB FOUNDATION,CO,34932887,0,1000,2020,t
SUNSHINE FOUNDATION,NY,34443206,0,10000,2023,f
THE NORDSON CORPORATION FOUNDATION,OH,34190711,0,5850,2022,t
BERNARD MCDONOUGH FOUNDATION INC,WV,34149418,0,15000,2022,t
THE GOERGEN FOUNDATION INC,FL,33532989,0,3800,2019,f
SHELL USA COMPANY FOUNDATION,TX,33040486,0,11000,2023,f
JOIA FOUNDATION INC,MA,32556742,0,20000,2023,f
AGNES M LINDSAY TRUST,MA,32185880,0,3000,2022,t
Lowell Berry Foundation,CA,32128907,0,4680,2023,f
THE CRAIN FOUNDATION,TX,31579417,0,1000,2023,t
ALLIANT ENERGY FOUNDATION INC,WI,30922435,0,408,2023,t
RUSSELL AND JOSEPHINE KOTT MEMORIAL,IL,30834770,0,37500,2022,t
JOHN BEN SNOW MEMORIAL TR UW #839158,PA,30762904,0,10000,2023,t
VICTOR E SPEAS FOUNDATION,TX,30474059,0,35000,2020,t
Harry S & Isabel C Cameron Foundation,TX,30237052,0,11500,2023,t
BUILDING HEALTHY LIVES FOUNDATION,OH,30119928,0,100,2022,f
THE GIBNEY FAMILY FOUNDATION INC,ID,29907485,0,5996,2023,f
JM McDonald Foundation Inc,DE,29396515,0,2000,2022,f
THE KENROSE KITCHEN TABLE FOUNDATION,WA,29245046,0,50000,2023,f
MITSUBISHI ELECTRIC AMERICA FOUNDATION,VA,29174869,0,250,2019,t
THE AMPARO FOUNDATION,TX,28467566,0,200000,2023,f
DAWN LAUREL FOUNDATION,SC,28146138,0,5000,2023,f
THE APPLIED MATERIALS FOUNDATION,CA,27771521,0,5000,2018,t
MCCARTHEY FAMILY FOUNDATION,UT,27604535,0,10000,2023,t
ATKINSON FOUNDATION,CA,27170571,0,10000,2023,t
PAULINE ALLEN GILL FOUNDATION,TX,26650305,0,10000,2023,f
THE PRAIRIE FOUNDATION,TX,26535902,0,10000,2023,t
TR UW CHARLES I BRANAN,MO,26323595,0,10000,2023,t
Lucky Seven Foundation,DE,26218236,0,8000,2022,t
HARRY C MOORES FOUNDATION,OH,26065038,0,17500,2022,t
VERIZON FOUNDATION,NJ,25968957,0,225,2022,f
NICHOLAS MARTIN JR FAMILY FOUNDATION,TX,25426459,0,32500,2021,f
PHILLIPS CHARITABLE FOUNDATION,MD,25205482,0,2500,2018,f
THE MILBANK FOUNDATION,WI,24905067,0,100000,2020,t
G KENNETH AND ANN BAUM PHILANTHROPIC,KS,24499842,0,2975,2023,f
GIVE FORWARD FOUNDATION,CA,24137914,0,75000,2021,f
The FJK Private Foundation,DE,24056329,0,10000,2023,f
THE GALLOWAY FOUNDATION,FL,23648437,0,25000,2023,t
MARKS FAMILY FOUNDATION,WA,23443641,0,10000,2024,f
PERRY & DONNA GOLKIN FAMILY FOUNDATION,NY,23382330,0,500,2022,f
HOERLE FOUNDATION INC,NY,23295140,0,1021,2019,f
MARIAM & ROBERT HAYES CHARITABLE TRUST,NC,22808455,0,5000,2021,f
HEARTFELT WINGS FOUNDATION INC,NY,22787261,0,5000,2019,f
IRIS & SAUL KATZ FAMILY FOUNDATION INC,NY,22485607,0,150000,2024,t
TEN FINGERS FOUNDATION,NH,22279167,0,10000,2019,f
GARNEAU NICON FAMILY FOUNDATION,WA,22128050,0,5000,2023,f
ROSE M BADGELEY CHARITABLE TRUST 10-214890,NY,21787180,0,30000,2024,t
CARL E WYNN FOUNDATION,CA,21782159,0,2500,2019,t
FLAGSTAR FOUNDATION INC,MI,21416011,0,25000,2023,f
ELKES FOUNDATION III,NY,21164953,0,3000,2022,f
GUSTAF WESTFELDT MCILHENNY FAMILY FOUNDA,FL,21043255,0,15000,2023,t
STEPHEN & TABITHA KING FOUNDATION INC,NY,21035932,0,6500,2023,f
