foundation_name,foundation_state,foundation_total_assets,siblings_funded,grants_to_siblings,target_grants_to_siblings,target_first_grants,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants,geo_eligible,client_eligible
THE NORCLIFFE FOUNDATION,WA,20421324,1,2,0,0,10000,2022,t,t,
First Interstate BancSystem Foundation,MT,20270202,2,2,0,0,7500,2024,t,t,
PFAU CHARITABLE FOUNDATION,PA,19946343,1,1,0,0,40000,2022,t,t,
CH ROBINSON WORLDWIDE FOUNDATION,SD,19235419,1,2,0,0,38,2022,t,t,
PUGET SOUND ENERGY FOUNDATION,DE,19074789,1,1,0,0,2500,2023,f,t,
THE KERR FOUNDATION INC,OK,18624951,1,1,0,0,1000,2019,t,t,
GE FOUNDATION,CT,17339609,4,5,0,0,175,2022,t,t,
HENRY DOLFINGER 2 TRUST UW,PA,17194062,1,1,0,0,1812,2022,t,t,
SILVER MOUNTAIN FOUNDATION FOR THE ARTS,NJ,17114814,1,3,0,0,1000,2023,t,t,
THE R C SMITH FOUNDATION INC,NY,17036252,1,1,0,0,3500,2022,t,t,
AETNA FOUNDATION INC,CT,16647339,3,4,0,0,5198,2020,t,t,
THE AJL CHARITABLE FOUNDATION,CO,15839164,1,1,0,0,500,2024,f,t,
Dimond Family Foundation,DE,15793800,1,1,0,0,2500,2020,f,t,
Eutopia Foundation,DE,15166443,1,1,0,0,3500,2023,f,t,
THE MARCIA ISRAEL FOUNDATION INC,CA,15001121,1,5,0,0,1800,2023,f,t,
PNM RESOURCES FOUNDATION,NM,14983568,1,1,0,0,4000,2022,t,t,
KENNETH AND MYRA MONFORT CHARITABLE,CO,14578660,1,4,0,0,15400,2023,f,t,
THE MARION & NORMAN TANZMAN,NJ,13927200,1,4,0,0,5000,2023,f,t,
THE WINKY FOUNDATION CO WILMINGTON TRUST CO,DE,13469395,1,1,0,0,2000,2020,f,t,
TRUSTMARK FOUNDATION,IL,13466560,1,1,0,0,6500,2020,f,t,
SAM HALPERN FAMILY FOUNDATION INC,NJ,13453456,1,1,0,0,18000,2018,f,t,
A to Z Impact Foundation,DE,13351967,1,1,0,0,300,2023,f,t,
INVESTORS FOUNDATION INC,NJ,12987964,1,3,0,0,10000,2022,f,t,
TW LEWIS FOUNDATION,AZ,12803499,1,1,0,0,5000,2019,t,t,
DIANE J AND ROBERT A MCDONALD,FL,12785823,1,1,0,0,1000,2023,f,t,
THE BILL BASS FOUNDATION,IL,12630119,1,2,0,0,2250,2022,f,t,
WILLIAMS FOUNDATION,OH,12450191,1,1,0,0,10000,2024,f,t,
ANDREW JERGENS FOUNDATION,OH,12443346,1,2,0,0,7000,2021,t,t,
SHIRLEY C CARIS FAMILY FOUNDATION,AZ,12151998,1,1,0,0,5000,2024,f,t,
THE WOHLGEMUTH HERSCHEDE FOUNDATION CO FIFTH,OH,12082246,1,1,0,0,7500,2020,t,t,
JOSEPHINE S RUSSELL CHARITABLE,PA,12067582,1,3,0,0,15000,2022,t,t,
BANK OF GREENE COUNTY,NY,11848394,1,2,0,0,2000,2023,t,t,
THE KAPLAN FOUNDATION,OH,11650419,1,4,0,0,6000,2023,t,t,
JOHN HAUCK FOUNDATION FIFTH THIRD BANK NA,OH,11644946,1,4,0,0,15000,2023,f,t,
GOODWIN FAMILY MEMORIAL TUA,NV,10911216,1,2,0,0,6275,2023,f,t,
THE WILLIAM G GILMORE FOUNDATION,CA,10624206,1,6,0,0,10000,2023,t,t,
AUDREY & SYDNEY IRMAS,CA,10557340,1,3,0,0,5000,2023,t,t,
IMA FOUNDATION,KS,10418402,1,1,0,0,1500,2024,f,t,
THE DAVID VICKTER FOUNDATION,CA,10046675,1,1,0,0,500,2019,f,t,
The Ramesh and Kalpana Bhatia Family,DE,9970901,1,5,0,0,7775,2023,f,t,
THE COVIA FOUNDATION,OH,9964889,1,2,0,0,38,2023,t,t,
Lumen Clarke M Williams Foundation,DE,9960278,1,1,0,0,125,2020,f,t,
THE GRAHAM AND CAROLYN HOLLOWAY,TX,9395551,1,1,0,0,10000,2023,f,t,
M B SERETEAN FOUNDATION,CA,9196896,1,1,0,0,1000,2020,f,t,
THE CASEY ALBERT T ONEIL FDN,WI,9193261,1,2,0,0,16000,2023,t,t,
THE JOSEPH KELLMAN FAMILY FOUNDATION,IL,9133035,1,1,0,0,2000,2019,f,t,
TEXTRON CHARITABLE TRUST DTD 122353,RI,9131813,1,1,0,0,2000,2020,t,t,
Illumina Corporate Foundation,DE,9111121,1,1,0,0,30000,2022,f,t,
