foundation_name,foundation_state,foundation_total_assets,siblings_funded,grants_to_siblings,target_grants_to_siblings,target_first_grants,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants,geo_eligible,client_eligible
XCEL ENERGY FOUNDATION,MN,3671471,4,6,0,0,935,2022,t,t,
PALMER FOUNDATION INC,FL,3654036,1,5,0,0,3000,2023,f,t,
PETER AND HELEN HAJE FOUNDATION,NY,3642239,1,2,0,0,500,2022,f,t,
TURNER CONSTRUCTION COMPANY FOUNDATION,OH,3595482,1,1,0,0,2500,2020,f,t,
THE MISSAD FOUNDATION,FL,3566155,1,2,0,0,2250,2023,f,t,
AMORY OUTREACH FOUNDATION INC,MS,3500911,1,1,0,0,5000,2023,f,t,
FREDA B RUNYON FOUNDATION,CA,3446838,1,2,0,0,2504,2022,f,t,
SPECIAL KIDS FOUNDATION,IL,3432712,1,1,0,0,10000,2021,t,t,
THE WHITE COMPANIES CHARITABLE TRUST,MA,3261640,1,1,0,0,500,2023,f,t,
THE BARBARA W AND PHILIP R DERROW,OH,3245026,1,1,0,0,5000,2022,f,t,
THE BRIAN H & JILL P ROWE FAMILY FDN FIFTH,OH,3180024,1,2,0,0,5000,2021,f,t,
Hyslop Shannon Foundation,LA,3177212,1,1,0,0,2500,2022,f,t,
THE QUAKER HILL FOUNDATION INC,MA,2996592,1,1,0,0,6400,2018,f,t,
Toby S Wilt Family Foundation,TN,2984835,1,3,0,0,1000,2023,t,t,
THE SCHWEBEL FAMILY FOUNDATION,OH,2953968,1,3,0,0,1000,2023,f,t,
JARVIS FOUNDATION,IL,2936433,1,1,0,0,1750,2023,f,t,
SEAMAN FAMILY FOUNDATION,OH,2923205,1,3,0,0,25000,2023,t,t,
WALKLING MEMORIAL TRUST,WA,2900223,1,3,0,0,3000,2023,f,t,
CHARITARIAN,NY,2898151,1,2,0,0,83613,2022,t,t,
THE JORDAN FUND,WA,2896329,1,1,0,0,2000,2021,t,t,
MORRIS BRAUN FOUNDATION XXX-XX-XXXX,IN,2895010,1,2,0,0,10000,2023,f,t,
Gassin Family Foundation,FL,2869801,1,4,0,0,5000,2023,f,t,
MEYER MILTON CHAR TUW-MAIN,NV,2852234,1,6,0,0,10000,2023,f,t,
THE DIAMOND FAMILY FOUNDATION,IL,2830891,1,1,0,0,1500,2019,f,t,
C L C KRAMER FOUNDATION INC,FL,2818938,1,1,0,0,2500,2023,f,t,
MARIA & BERNARD A PARGH,TN,2770929,1,2,0,0,10000,2023,f,t,
FEINBERG FOUNDATION,NM,2759421,1,2,0,0,875,2022,t,t,
STEVEN & BEDE LEVINSON FOUNDATION INC,FL,2715446,1,2,0,0,500,2019,f,t,
THE ROCHE FAMILY FOUNDATION INC,IL,2712985,1,1,0,0,100,2020,f,t,
NAKTENIS KM & PE FAM FDN,TX,2669729,1,2,0,0,5000,2024,f,t,
The Gelb Family Foundation,TX,2667732,1,5,0,0,2000,2023,t,t,
MAXWELL C WEAVER FOUNDATION,WI,2617290,1,4,0,0,5000,2023,f,t,
SEVEN CITIES FOUNDATION,TX,2610693,1,7,0,0,2000,2024,f,t,
Buckley Family Charitable Foundation,DE,2575717,1,6,0,0,5000,2024,f,t,
THE TWINKLING EYES FOUNDATION,SC,2570148,1,1,0,0,7500,2022,f,t,
McDowell Family Foundation,DE,2554934,1,2,0,0,625,2019,f,t,
GEORGE D HOTT FOUNDATION,OH,2521607,1,1,0,0,5000,2023,t,t,
JOHN M BROWN FAMILY FOUNDATION,OH,2518109,1,1,0,0,5000,2023,t,t,
FIRST NONPROFIT FOUNDATION,NY,2509325,2,2,0,0,10000,2019,t,t,
MELVIN & LOIS HOINESS FOUNDATION,WA,2426594,1,5,0,0,2000,2023,f,t,
THE KNOWLEDGE FREEDOM FOUNDATION,MA,2416101,2,3,0,0,1800,2023,f,t,
THE OAKLAND ATHLETICS COMMUNITY FUND,CA,2346790,1,1,0,0,10000,2020,t,t,
M I HOMES FOUNDATION,OH,2332155,1,2,0,0,25000,2023,t,t,
THE SIDNEY & MILDRED EDELSTEIN,NJ,2295561,1,3,0,0,5000,2020,f,t,
DOMINION ENERGY CHARITABLE FOUNDATION,VA,2263672,1,1,0,0,5000,2024,t,t,
ANTHONY F BAUER TRUST FUND,NC,2256989,1,5,0,0,13182,2023,f,t,
THE RICH FOUNDATION,TN,2254808,1,1,0,0,1000,2023,t,t,
The Annette and Anthony Albanese Foundation,DE,2252263,1,2,0,0,550,2019,f,t,
HORATIO B & WILLIE J BUNTIN FOUNDATION,TN,2236003,1,5,0,0,1000,2023,f,t,
MARGARET T MORRIS FOUNDATION,AZ,2214374,1,3,0,0,2500,2024,t,t,
EMY & EMIL HERZFELD FOUNDATION INC,NY,2212672,1,2,0,0,6000,2020,t,t,
CHARLOTTE WOMAN'S CLUB FIRST CITIZENS BANK,NC,2204920,1,3,0,0,2500,2023,t,t,
Omron Foundation Inc,IL,2109198,1,2,0,0,112,2021,t,t,
ROBERT C AND SUSAN M SAVAGE,OH,1994630,1,1,0,0,150,2021,t,t,
SUE SMITH HARRISON FAMILY FOUNDATION,TX,1982553,1,3,0,0,5000,2022,f,t,
CHRISTIAN LEGACY FOUNDATION,TN,1947777,1,1,0,0,2000,2023,f,t,
WESTERN UNION FOUNDATION,CO,1938380,3,5,0,0,100,2023,f,t,
AGT AUGUST A RENDIGS JR AND HELEN RENDIGS FDN,OH,1920651,1,5,0,0,17500,2024,t,t,
SIGMUND FOUNDATION INC,CA,1907688,1,1,0,0,3600,2023,f,t,
CATT FAMILY FOUNDATION,AR,1893325,1,3,0,0,5000,2023,t,t,
EPI-HAB PHOENIX INC,AZ,1890029,1,1,0,0,1600,2018,f,t,
RINTELS FAMILY FOUNDATION,IL,1887435,1,1,0,0,150,2023,f,t,
CHAS AND RUTH SELIGMAN,KY,1874196,1,1,0,0,15000,2023,t,t,
TRUST UW OF CARRIE M NEWELL XXXXX5005,IL,1868937,1,1,0,0,34157,2024,f,t,
RICHARD D HANNAN FAMILY FOUNDATION FIFTH,OH,1804640,1,4,0,0,500,2024,t,t,
THE HOROWITZ RATNER FAMILY FOUNDATION,OH,1800326,1,2,0,0,2500,2023,f,t,
LOUIS KESTEN & ESTHER KESTEN,CA,1736928,1,1,0,0,1000,2022,f,t,
RDM FOUNDATION,OH,1736349,1,1,0,0,500,2023,f,t,
FRENZEL FAMILY CHARITABLE FDN,WI,1729386,1,2,0,0,2750,2023,t,t,
BAKER HUGHES FOUNDATION,TX,1696044,1,1,0,0,75,2023,f,t,
THE MARILYN S BROAD FOUNDATION INC,NJ,1693953,1,4,0,0,7680,2023,f,t,
TOLEDO COMMUNITY FOUNDATION INC,OH,1683347,1,2,0,0,6000,2019,f,t,
ABR FAMILY FOUNDATION NO 1,OH,1658219,1,1,0,0,20000,2023,f,t,
LOUIS & MELBA SCHOTT FOUNDATION,OH,1644072,1,1,0,0,7500,2019,t,t,
HOPE SHARE CARE FOUNDATION INC,MA,1626408,1,1,0,0,1000,2023,f,t,
THE KLINE FAMILY FOUNDATION,OH,1625864,1,1,0,0,6000,2024,f,t,
MCKESSON FOUNDATION INC,TX,1615367,1,1,0,0,97,2021,f,t,
ANNE E LEIBOWITZ FUND,IL,1586169,1,4,0,0,1500,2023,t,t,
USG FOUNDATION INC,IL,1583533,1,1,0,0,50,2023,t,t,
ALBEN F & CLARA G BATES FOUNDATION,IL,1547057,1,2,0,0,1000,2023,f,t,
THE SELIGMAN FAMILY FOUNDATION,MI,1545405,1,5,0,0,2500,2023,f,t,
RICHARD HORVITZ AND,OH,1544671,1,4,0,0,500,2022,f,t,
GOERLICH FAMILY FOUNDATION,OH,1505525,1,2,0,0,2750,2023,t,t,
THE DEPOLO FOUNDATION,CA,1460017,1,2,0,0,4000,2022,f,t,
THE BEARD-PAYNE FAMILY FOUNDATION,GA,1429073,1,1,0,0,500,2021,f,t,
HARBORONE FOUNDATION RHODE ISLAND,MA,1427492,1,2,0,0,15000,2023,f,t,
TR UA A & E EHLERS FDN,OH,1401356,1,3,0,0,50,2023,f,t,
THE J E FEHSENFELD FAMILY FOUNDATION INC,IN,1360692,1,2,0,0,1000,2022,t,t,
THE MAAS FAMILY FOUNDATION,OH,1352750,1,1,0,0,2500,2018,f,t,
CLA FOUNDATION,MN,1351324,1,1,0,0,15000,2020,f,t,
AIMEE AND LULU SEIDEL TRUST,OH,1332545,1,2,0,0,8000,2024,t,t,
The Molina Healthcare Charitable Foundation,DE,1330319,1,1,0,0,2000,2020,f,t,
JAMES A AND MAYME H ROWLAND,TX,1289819,1,2,0,0,2750,2023,t,t,
ELLEN AND SAMUEL PHELAN FAMILY,NY,1282358,1,2,0,0,500,2024,f,t,
THE BYRNE FOUNDATION INC,NC,1271353,1,2,0,0,8750,2022,f,t,
THE HIRSCH FAMILY CHARITABLE,NY,1259205,1,1,0,0,100,2022,f,t,
K ARAKELIAN FOUNDATION,CA,1229639,1,5,0,0,500,2023,f,t,
JUILFS FOUNDATION,OH,1219547,1,1,0,0,2500,2020,t,t,
Hometown Bank Community Foundation Inc,MA,1212381,1,3,0,0,250,2023,t,t,
ELEANOR BAINBRIDGE OH ITFA MAX,PA,1196268,1,2,0,0,24036,2023,f,t,
HP FOUNDATION,MI,1191734,1,2,0,0,1500,2023,f,t,
JEFFREY H GROSS FAMILY FOUNDATION,OH,1184339,1,2,0,0,10000,2024,t,t,
LAMB JANE CHARITABLE FDN,OH,1165920,1,2,0,0,5500,2023,t,t,
RICHARD D REIS FAMILY FOUNDATION,OH,1130612,1,1,0,0,1000,2021,t,t,
THE GRACE AND HOPE FOUNDATION INC,NC,1107433,1,3,0,0,5000,2020,f,t,
THE FUCHS FAMILY FOUNDATION INC,FL,1084918,1,1,0,0,1000,2019,f,t,
Barbasol Foundation,OH,1063100,1,2,0,0,25000,2023,t,t,
KATTEN MUCHIN ROSENMAN FOUNDATION INC,IL,1057199,1,1,0,0,1500,2022,f,t,
THE S & J TOM FAMILY FOUNDATION,CA,1032481,1,1,0,0,3000,2021,f,t,
DAVID A BRAMBLE FOUNDATION INC,MD,989061,1,1,0,0,500,2018,t,t,
COMMUNITY HEALTH SYSTEMS FOUNDATION,TN,966385,1,1,0,0,600,2023,f,t,
AGILENT TECHNOLOGIES FOUNDATION,CA,957202,1,1,0,0,500,2019,f,t,
JOSEPH & HELEN SKILKEN FOUNDATION,OH,940700,1,2,0,0,18250,2023,t,t,
THE KRAUSE FAMILY FOUNDATION,OH,905364,1,5,0,0,122000,2022,f,t,
THE GILLETTE FAMILY FOUNDATION,WI,894751,1,2,0,0,10500,2022,t,t,
The Pellerito Foundation,DE,882057,1,1,0,0,2000,2023,f,t,
LOUIS P & LELA BUSCH FOUNDATION,FL,878598,1,1,0,0,5000,2022,f,t,
FRIEL FOUNDATION INC,MD,877408,1,5,0,0,100,2023,f,t,
RICHARDS FAMILY CHARITABLE FOUNDATION,CA,876017,1,6,0,0,500,2023,f,t,
Henry Meyer Family Foundation,FL,863052,1,5,0,0,3000,2023,f,t,
B & J ASSOCIATION INC,IL,843204,1,1,0,0,53,2020,f,t,
ARNOLIE FAMILY FOUNDATION,VA,841880,1,3,0,0,10000,2023,f,t,
LEWIS & MARJORIE DANIEL FOUNDATION CO FIFTH,OH,838040,1,4,0,0,1000,2023,f,t,
CHARLES D FARBER MEMORIAL,NY,824038,1,2,0,0,900,2022,t,t,
RONALD F WALKER CHARITABLE FOUNDATION,OH,803267,1,1,0,0,10000,2019,f,t,
CHAMPAIGN CTY MEMORIAL FOUNDATION,OH,769528,1,1,0,0,6500,2019,f,t,
MARGARET STEVENSON FOUNDATION,WI,735825,1,4,0,0,6000,2023,f,t,
Prosource Foundation Inc,NJ,725573,1,4,0,0,15000,2024,f,t,
D'ADDARIO FOUNDATION INC,NY,718735,1,1,0,0,1710,2022,t,t,
DANA CHARITABLE FOUNDATION,MI,711598,1,1,0,0,5000,2023,t,t,
FINDLAY FAMILY FOUNDATION,CT,697544,1,1,0,0,150,2020,f,t,
IRENE C FINKELSTEIN FOUNDATION,CA,690862,1,3,0,0,2500,2020,t,t,
THE LANWARD FOUNDATION,TX,690761,1,1,0,0,2500,2018,f,t,
KLIONSKY FOUNDATION,SC,686877,1,2,0,0,1000,2021,f,t,
THE JOHN L DUNNE & JENIFER LLOYD,OH,685951,1,4,0,0,500,2023,f,t,
Jeffrey P McKee Foundation,DE,663441,1,4,0,0,500,2023,f,t,
THE HEDRICK FAMILY FOUNDATION,NC,661289,1,3,0,0,2500,2020,f,t,
MICHAEL AND ANDREA GROSS FAMILY FOUNDATI,OH,661169,1,1,0,0,5000,2023,t,t,
THE W BRUCE LUNSFORD FOUNDATION INC,KY,660829,1,1,0,0,5000,2023,f,t,
PURE GOOD FOUNDATION,CA,656161,1,1,0,0,2880,2020,f,t,
THE ROSENFIELD FAMILY FOUNDATION,NJ,650017,1,1,0,0,1800,2018,f,t,
THE CHARLES M GRANT FOUNDATION,OH,642975,1,7,0,0,2000,2024,f,t,
ISAKOW FOUNDATION,CA,642857,1,1,0,0,1000,2021,f,t,
The Torosian Foundation,MO,641653,1,1,0,0,1892,2022,f,t,
LIVE LOVE SERVE FOUNDATION,NC,636664,1,2,0,0,3000,2023,t,t,
WASHINGTON FEDERAL FOUNDATION,WA,631145,1,4,0,0,2750,2022,t,t,
The Heidt Family Foundation,OH,621079,1,3,0,0,7500,2023,f,t,
MUTUAL OF AMERICA FOUNDATION,NY,614687,1,1,0,0,50,2023,t,t,
KITE FAMILY FOUNDATION,OH,592401,1,1,0,0,1000,2021,f,t,
THE CARMELO 3 FOUNDATION,CA,578891,1,2,0,0,140,2022,t,t,
COHN SADIE & LOUIS CHAR TUW,NV,575158,1,1,0,0,5000,2020,f,t,
ARMANINO FOUNDATION,CA,568211,1,1,0,0,1000,2019,f,t,
THE CHARLES L PERKINS SR CHARITABLE,VA,556940,1,1,0,0,100000,2024,f,t,
THE ACKERMAN FOUNDATION INC,NY,550956,1,1,0,0,900,2023,t,t,
G E Johnson Foundation,CO,521654,1,1,0,0,15000,2018,f,t,
MERCURY WIRE PRODUCTS CHARITABLE,MA,513126,1,1,0,0,1000,2022,f,t,
Motorola Solutions Foundation,IL,494818,2,5,0,0,22370,2024,t,t,
TOLEDO COMMUNITY FOUNDATION INC,OH,486159,1,3,0,0,7500,2023,f,t,
DEETTA M BASCOM TRUST FBO CRIPPLED CHILDREN'S,IL,486062,1,6,0,0,26049,2023,f,t,
The Little Flower Foundation,DE,481402,1,3,0,0,5000,2024,f,t,
EVELYN W DUNN CHARITABLE TRUST,OH,472033,1,6,0,0,1000,2023,t,t,
THE ANTHONY J FOX FAMILY FOUNDATION,OH,469905,1,4,0,0,2975,2023,f,t,
THE WINGS OF IMPACT FOUNDATION,IL,434694,1,1,0,0,1000,2024,f,t,
LOONEY-MONTGOMERY FOUNDATION,TX,416766,1,3,0,0,500,2021,t,t,
THE BETTY BENTSEN WINN FOUNDATION,TX,380235,1,2,0,0,600,2023,f,t,
E BOYER AND IRENE L CHRISMAN FOUNDATION,VA,379534,1,1,0,0,500,2019,f,t,
THE LOWRANCE FAMILY FOUNDATION,NC,377523,1,2,0,0,7500,2023,f,t,
THE GROUNDFLOOR MEDIA FOUNDATION,CO,367530,1,1,0,0,2500,2024,f,t,
PRICE CHOPPER'S GOLUB FOUNDATION,NY,347433,2,2,0,0,1000,2024,t,t,
TED AND BARBARA HEBERT,MA,327171,1,1,0,0,5000,2022,f,t,
ZUMIEZ FOUNDATION,WA,317514,1,2,0,0,13260,2022,f,t,
Albatross Charitable Foundation,DE,305914,1,2,0,0,5500,2023,f,t,
THE PETERMAN & DEMINICO FAMILY,OH,301345,1,4,0,0,150,2024,f,t,
BOLLAG FAMILY FOUNDATION,NC,297017,1,1,0,0,100,2022,f,t,
THE PRAW FOUNDATION,CA,295305,1,2,0,0,230,2022,f,t,
THE JCK FOUNDATION,NC,294420,1,1,0,0,2200,2024,t,t,
HARRY R & MARY I MAXON,OH,293621,1,1,0,0,500,2018,f,t,
HENRY & EUGENIA GREEN FAMILY FOUNDATION,OH,267999,1,1,0,0,1000,2022,f,t,
THE COOPER FOUNDATION,NY,262733,1,1,0,0,1000,2020,f,t,
AMERICAN MODERN FOUNDATION,OH,249548,1,1,0,0,155,2022,t,t,
HATZAV Family Foundation Inc,CA,241811,1,4,0,0,5000,2023,f,t,
THE PRAISNER FAMILY FOUNDATION,CA,224614,1,1,0,0,250,2023,f,t,
BUSH CJ TUW,MO,223256,1,5,0,0,700,2023,f,t,
Wagman Foundation,PA,222153,1,1,0,0,3797,2020,f,t,
DAVID & MARGARET ENGEL FAMILY FOUNDATION,PA,218465,1,2,0,0,500,2023,f,t,
LAURA BENCIVENGA FOUNDATION INC,NY,218334,1,1,0,0,1100000,2023,f,t,
Adducci Family Foundation,IL,206418,1,1,0,0,100,2020,f,t,
THE PHILIP F THOMPSON CHARITABLE,OH,200363,1,1,0,0,500,2022,f,t,
Louis Glunz III FamilyRegis,IL,193590,1,1,0,0,1000,2022,f,t,
THE O-I CHARITIES FOUNDATION,OH,186949,1,1,0,0,100,2023,f,t,
CHICKEN N PICKLE FOUNDATION INC,MO,176549,1,1,0,0,100,2023,f,t,
WELCH FOUNDATION INC,WA,176189,1,1,0,0,10000,2018,f,t,
JOE AND HELENE RUDBERG FAMILY FOUNDATION,TX,174237,1,4,0,0,5000,2023,f,t,
HOWARD AND SHEILA PIZER CHARITABLE FOUND,IL,172764,1,2,0,0,1000,2021,f,t,
J CROMER MASHBURN FAMILY FOUNDATION,OH,156222,1,4,0,0,1750,2023,f,t,
MUELLER BRASS FOUNDATION,TN,154601,1,1,0,0,2000,2021,f,t,
GEORGE JUSTIN MUSEKAMP FDN AGT FOR,WI,146044,1,4,0,0,1050,2023,f,t,
JOHN F BARRETT FOUNDATION INC,OH,130894,1,4,0,0,150,2022,f,t,
PUGH FAMILY FOUNDATION,CA,119393,1,5,0,0,1000,2023,f,t,
BERNARD AND BETTY HARDESTY,MD,104423,1,5,0,0,250,2023,f,t,
SUNMARK CHARITABLE COMMUNITY FOUNDATION,NY,99649,1,1,0,0,500,2018,t,t,
THE GRIFFITH FOODS FOUNDATION,IL,84252,1,1,0,0,250,2023,t,t,
HUHN HARRY K - UD DTD 8-30-66,PA,79449,1,3,0,0,3780,2023,f,t,
GRETEL BLOCH CHARITABLE TRUST,OH,69395,1,1,0,0,1000,2020,f,t,
THE NICK BALES BTR FOUNDATION,CO,68848,1,1,0,0,1553,2021,f,t,
Wolf & Company Charitable,MA,65733,1,1,0,0,250,2023,t,t,
THE LAZARD CHARITABLE FOUNDATION,NY,65025,1,1,0,0,50,2023,t,t,
LOUIS T BLOCK FAMILY FOUNDATION,OH,58537,1,6,0,0,375,2023,f,t,
LEE FAMILY FOUNDATION INC,AZ,57797,1,1,0,0,1784,2023,f,t,
TOIBB FAMILY FOUNDATION,CA,57564,1,2,0,0,55000,2021,f,t,
PARTNERS IN HOPE FOUNDATION,CO,55741,1,1,0,0,1000,2021,f,t,
UNION PACIFIC FOUNDATION,NE,50434,2,3,0,0,5000,2024,t,t,
CENTURY HOMEBUILDERS FOUNDATION INC,FL,34860,1,1,0,0,500,2018,f,t,
RACHELLE LEICHLER SCHOLARSHIP,FL,33854,1,1,0,0,2300,2019,t,t,
TZP CARES FOUNDATION,NY,26523,1,1,0,0,700,2021,f,t,
ELSON FAMILY CHARITABLE TRUST,NC,26306,1,2,0,0,1000,2024,f,t,
VIRGINIA QUALITY HEALTHCARE NETWORK INC,VA,26275,1,1,0,0,2500,2022,f,t,
GARY & DENISE GARDNER FAMILY FOUNDATION,IL,24347,1,1,0,0,7500,2021,f,t,
STARR FAMILY FOUNDATION,OH,23712,1,1,0,0,1000,2022,f,t,
JULES PODELL FOUNDATION INC,NJ,22427,1,1,0,0,750,2022,t,t,
HACIENDA CHILD DEVELOPMENT FUND,CA,18613,1,5,0,0,2250,2023,t,t,
THOMAS R LEONARD FOUNDATION,CA,17877,1,1,0,0,1500,2018,f,t,
INFOTRUST FOUNDATION,OH,16302,1,1,0,0,554,2019,f,t,
THE SCHULWEIS FAMILY FOUNDATION,NY,15385,1,2,0,0,3000,2020,f,t,
RICHARD & LILIANN ZISOOK FAMILY FOU,IL,10633,1,3,0,0,1500,2024,f,t,
SYSCO DISASTER RELIEF FOUNDATION INC,TX,10262,1,1,0,0,220,2020,t,t,
THE ALBERT B & AUDREY G RATNER,OH,5401,1,1,0,0,10000,2020,f,t,
THE WESTPHAL FAMILY FOUNDATION,CA,5336,1,4,0,0,1375,2021,t,t,
The Bill & Erma Riley Family Foundation,KS,2915,1,1,0,0,50,2021,f,t,
THE ELISHIS FAMILY FOUNDATION,CA,500,1,1,0,0,2000,2022,f,t,
Morgan Charitable Foundation,NC,247,1,1,0,0,4000,2023,f,t,
RUBY FAMILY FOUNDATION,CA,191,1,1,0,0,10000,2022,f,t,
HELEN T ANDREWS FOUNDATION CO-TRS UA FIFTH,OH,37,1,2,0,0,500,2023,f,t,
EDWARD & HELENE HILLS FOUNDATION,CA,0,1,1,0,0,50,2019,f,t,
THE WARRINGTON FOUNDATION CO FIFTH THIRD,OH,0,1,2,0,0,3750,2022,f,t,
NEIL & AMELIA MCDANIEL CHARITABLE TRUST,CA,0,1,1,0,0,5000,2021,f,t,
CBC Charitable Foundation,CA,0,1,1,0,0,1000,2023,t,t,
THE LORRAINE & GERARD SEELIG FOUNDA,CA,0,1,1,0,0,200,2020,f,t,
THE NYSETHER FAMILY FOUNDATION,WA,0,1,4,0,0,20000,2023,f,t,
THE WILL AND JAN SUKENIK,OH,0,1,1,0,0,980,2021,f,t,
John Gogian Family Foundation,CA,0,1,5,0,0,150000,2024,f,t,
THE REDWOODS GROUP FOUNDATION INC,NC,0,1,2,0,0,1175,2019,t,t,
CROWLEY CARES FOUNDATION,DE,0,1,2,0,0,920,2019,f,t,
CME GROUP COMMUNITY FOUNDATION,IL,0,1,2,0,0,350,2019,t,t,
CARMEL PASADENA FOUNDATION,AZ,0,1,2,0,0,3250,2022,f,t,
BARTLETT FAMILY FOUNDATION,AZ,0,1,1,0,0,2000,2020,f,t,
Michael J Marchese Family Foundation,IL,0,1,1,0,0,1500,2022,t,t,
Joy and Jerry Monkarsh Family Foundation,CA,0,1,4,0,0,16426,2022,f,t,
CROSBY FAMILY FOUNDATION,KS,0,1,1,0,0,1500,2018,f,t,
