foundation_ein,foundation_name,foundation_state,match_score,match_probability,match_rank,same_state,original_score,adjusted_score,grant_type_match_pct,grant_type_grants,state_match_pct,adjusted_rank
46019065,CHARLES H MULLLIGAN TUW-SPFD HOM,TX,92.8,0.9280822000187112,28,False,92.8,46.4,0.0,0,0.0,41
131677403,Helen Hay Whitney Foundation,NY,92.2,0.9221230771803302,32,False,92.2,46.1,0.0,0,0.0,42
261608957,Stacey Elizabeth Mayer Foundation Inc,WI,92.3,0.923016480320439,31,False,92.3,46.1,0.0,0,0.0,43
436886268,The Lesley Waldheim Charitable Foundation,MO,90.8,0.9078854593240872,35,False,90.8,45.4,0.0,0,0.0,44
362899320,Conagra Brands Foundation,NE,90.6,0.9058019736342574,37,False,90.6,45.3,0.0,0,0.0,45
56067971,TRUSTEE UWO INEZ SPRAGUE,TX,87.2,0.8717648695482684,40,False,87.2,43.6,0.0,0,0.0,46
716151753,M K Charitable Trust,AR,87.0,0.8703637955812096,41,False,87.0,43.5,0.0,0,0.0,47
10541580,ROSS POWERS FOUNDATION,ME,84.5,0.8446838319572938,45,False,84.5,42.2,0.0,0,0.0,48
862918677,SNAIL FOUNDATION,VA,84.2,0.8418014156341868,47,False,84.2,42.1,0.0,0,0.0,49
341479099,RL AND ETTA L TRIPLETT,OH,83.6,0.8355854296916325,48,False,83.6,41.8,0.0,0,0.0,50
