foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
LESLIE L ALEXANDER FOUNDATION INC,FL,317996694,0,50000,2023,f
THOMAS & DOROTHY LEAVEY FOUNDATION,CA,317952872,0,6000000,2022,t
THE JOHN R OISHEI FOUNDATION,NY,315667488,0,15000,2023,t
The Coca-Cola Foundation Inc,GA,309608071,0,75000,2023,t
BONIFACE FOUNDATION,MO,305347361,0,750000,2023,f
THE MYRON STRATTON HOME,CO,298275321,0,15000,2022,t
Alvin Goldfarb Foundation,MO,293464504,0,154400,2024,f
ALTMAN FOUNDATION,NY,283326707,0,100000,2022,t
CAROL ANN AND RALPH V HAILE JR,OH,276171000,0,35000,2022,f
MANNING FAMILY FOUNDATION,VA,274981200,0,5000,2020,t
ONCE UPON A TIME FOUNDATION,TX,269806059,0,500,2023,f
THE PFIZER FOUNDATION INC,NY,255366549,0,208,2023,f
The Jim Moran Foundation Inc,FL,251700402,0,175000,2023,t
HUGH J ANDERSEN FOUNDATION,MN,251002895,0,30000,2024,t
Eastern Bank Foundation,MA,249698317,0,10000,2023,t
CUMMINGS FOUNDATION GRANTS INC (FKA ONEWORLD BOSTON INC),MA,233134310,0,50000,2023,t
LAW FOUNDATION INC,NJ,228436477,0,2500,2023,f
EUGENE & AGNES E MEYER FOUNDATION,DC,224816964,0,17500,2019,t
THE RICHARD M SCHULZE FAMILY FOUNDATION,MN,209175254,0,60000,2023,t
CARRIE ESTELLE DOHENY FOUNDATION,CA,200355209,0,40000,2023,t
THE FRIST FOUNDATION,TN,200236459,0,114950,2020,t
THE DANIEL B AND,PA,198932484,0,110000,2023,f
LOUIS CALDER FOUNDATION,CO,194177460,0,25000,2023,t
SONTAG FOUNDATION,FL,187565405,0,10000,2023,t
S MARK TAPER FOUNDATION,CA,186186083,0,60000,2020,t
WELLSPRING PHILANTHROPIC FUND INC,NY,180009489,0,100,2017,f
ANNE & GENE WORRELL FOUNDATION,VA,179150318,0,250000,2023,f
HERRICK FOUNDATION,MI,179053825,0,110000,2021,t
THE MEIJER FOUNDATION,MI,172757329,0,55000,2023,f
Elmina B Sewall Foundation,ME,170578667,0,10000,2023,t
DE BEAUMONT FOUNDATION INC,MD,167583994,0,51500,2020,f
The Eugene McDermott Foundation,TX,165197833,0,1000000,2023,t
QUANTUM FOUNDATION INC,FL,162221360,0,161827,2023,t
THE DILLER FOUNDATION DBA THE DILLER-,NY,161395942,0,20000,2018,f
Elevance Health Foundation Inc,IN,160795195,0,100000,2023,t
Speedwell Foundation,GA,159870822,0,10000,2022,f
THE GHEENS FOUNDATION INC,KY,158801956,0,100000,2023,t
SHIPLEY FOUNDATION INC #0755496,MA,157560695,0,35000,2023,f
MERANCAS FOUNDATION INC,NC,152384008,0,100000,2023,t
PRITZKER FAMILY FOUNDATION,IL,148414858,0,300000,2022,f
Frey Foundation,MI,147686324,0,100000,2022,t
NATIONAL ENDOWMENT FOR,CO,144938044,0,25000,2020,t
Maine Health Access Foundation Inc,ME,144323858,0,500,2023,t
HILLCREST FOUNDATION,TX,142314920,0,20000,2020,t
RETIREMENT RESEARCH FOUNDATION,IL,140682488,0,3000,2023,t
ALTECSTYSLINGER FOUNDATION,AL,139629225,0,1000,2020,f
HOBLITZELLE FOUNDATION,TX,135684279,0,72500,2024,t
Amelia Peabody Foundation,MA,135682150,0,50000,2023,t
Opus Foundation,MN,131701360,0,30000,2023,f
THE MELVILLE CHARITABLE TRUST INC,CT,131673042,0,65000,2023,t
Independence Blue Cross Foundation,PA,131340037,0,15000,2023,t
THE HEALING TRUST,TN,130695569,0,39767,2023,t
THE CIGNA GROUP FOUNDATION,PA,129315317,0,200,2023,t
THE WILLIAM & LIA G POORVU,MA,129065910,0,10000,2020,f
THE HALL-PERRINE FOUNDATION,IA,128465445,0,50000,2023,t
Alumbra Innovations Foundation,AR,126948198,0,25000,2023,f
STEELCASE FOUNDATION,MI,126164413,0,100000,2023,f
FIRSTENERGY FOUNDATION,OH,125969538,0,10000,2022,t
REGIONS FOUNDATION,AL,125423567,0,50000,2021,f
JOHNNY CARSON FOUNDATION,CA,123658915,0,10000,2022,f
AMELIA PEABODY CHARITABLE FUND TRUST,MA,121983959,0,100000,2020,t
MAYBELLE CLARK MACDONALD FUND,OR,121963679,0,37500,2020,f
ALABAMA POWER FOUNDATION INC,AL,121475169,0,10000,2022,t
SOUTHERN COMPANY GAS CHARITABLE,GA,119615980,0,25000,2020,f
THOMAS M HELEN MCKEE & JOHN P RYAN FO,TX,118540369,0,5000,2020,t
ESB CHARITABLE FOUNDATION,CA,116752012,0,100,2019,f
STRANAHAN FOUNDATION,OH,116593455,0,35000,2023,f
THE DANIEL FOUNDATION OF ALABAMA,AL,115676328,0,20000,2020,t
SCOTT FOUNDATION INC,PA,115351306,0,25000,2019,f
BAIRD FOUNDATION INC,WI,115318490,0,10,2023,f
JAMES S MCDONNELL FAMILY FOUNDATION,MA,112553449,0,20000,2022,f
JOE C DAVIS FOUNDATION,TN,112536046,0,10000,2022,t
NICHOLAS H NOYES JR MEMORIAL,IN,111555039,0,5000,2023,t
THE KROGER CO FOUNDATION,OH,111434488,0,10000,2022,t
THE DAVID AND CAROL VAN ANDEL FAMILY,MI,109872066,0,25000,2023,t
SAMIS FOUNDATION,WA,109313366,0,1500,2022,f
ARCHSTONE FOUNDATION,CA,106591460,0,22500,2022,t
DAVID C COPLEY FOUNDATION,CA,105060577,0,5000,2019,f
MEDINA FOUNDATION,WA,103615717,0,45000,2023,t
FOUNDATION FOR OPIOID RESPONSE EFFORTS,NY,102175953,0,135000,2022,f
THE CHANTAL AND TOMMY BAGWELL FOUNDATION,GA,102139207,0,2000,2020,f
EDWARD JONES FOUNDATION,MO,101433790,0,126000,2023,f
PATRICK AND AIMEE BUTLER FAMILY,MN,101427727,0,75000,2023,f
KISSICK FAMILY FOUNDATION,CA,99302510,0,2500,2018,f
