foundation_name,foundation_state,foundation_total_assets,target_grants_to_siblings,median_grant_size_to_siblings,most_recent_grant_year,open_to_applicants
JUDITH L SELTZ CHARITABLE FOUNDATION,CA,4879679,0,10000,2023,f
FALES FOUNDATION TRUST,WI,4827060,0,5000,2022,t
TTEE UW OF CHARLES F BACON,TX,4808724,0,15000,2024,t
THE GAP FOUNDATION,CA,4777763,0,150,2023,t
James Stuart III Family Foundation,NE,4773932,0,3000,2023,t
THE BRAVE HEART FOUNDATION INC,IN,4721563,0,5000,2019,f
MYERS L & MARILYN R GIRSH,CT,4673145,0,1500,2021,t
HENRIETTA TOWER WURTS MEMORIAL,PA,4660138,0,3000,2022,t
THE EAGLE AND THE HAWK FOUNDATION,MN,4651195,0,1000,2018,f
BALIN HILDEGARD CHARIT TUA-MAIN,NV,4626572,0,5000,2023,f
R C KEMPER CHARITABLE TRUST 10017800,MO,4615614,0,10000,2019,f
TRUE HOMES FOUNDATION INC,NC,4599675,0,51000,2023,f
SCANSOURCE CHARITABLE FOUNDATION,SC,4599572,0,500,2023,t
Katz Bick Foundation Inc,CA,4558214,0,3946,2022,f
SUNDET FOUNDATION,MN,4556940,0,1000,2021,f
BGDG Foundation,UT,4548639,0,10000,2022,f
HAUSER FAMILY FOUNDATION INC,FL,4525136,0,5000,2019,t
ASH FAMILY FOUNDATION,WA,4521240,0,1500,2020,t
WILLIAM P ANDERSON FOUNDATION CENTRAL TRUST,MA,4520494,0,4500,2022,t
LOUIS R DRAUGHON FOUNDATION,AL,4469728,0,10000,2020,f
Larry Dion Foundation,FL,4452015,0,15000,2021,f
Allene N Gilman Charitable Trust,OH,4423595,0,30000,2023,f
HUDSON FAMILY FOUNDATION INC,FL,4370894,0,34000,2021,f
ADELARD AND VALEDA ROY FOUNDATION,MA,4366113,0,4500,2023,f
BNSF RAILWAY FOUNDATION,TX,4343485,0,495,2023,t
McNabb Foundation,DE,4295050,0,1000,2023,f
MARION & MARLENE BETTEN FOUNDATION,MI,4285127,0,6000,2023,f
PRATT MEMORIAL FUND,WI,4238842,0,2540,2022,f
LUCI AND STAN SUNSHINE FAMILY FOUNDATION,GA,4218667,0,180,2020,f
THE BEAR FAMILY FOUNDATION INC,FL,4133129,0,2500,2023,f
The Barth Foundation,CA,4118424,0,2000,2022,f
Seymour and Sylvia Rothchild Family 2004,DE,4105886,0,1250,2019,f
LIGHT A SINGLE CANDLE FOUNDATION NF,MO,4100863,0,65625,2023,t
Lincoln Financial Foundation Inc,PA,4076873,0,7000,2023,t
THE JOAN SHAFRAN AND ROB HAIMES,MA,4067185,0,250,2024,f
PEGGY AND ROBERT MATTHEWS FOUNDATION,CA,4066753,0,22500,2022,f
ELLIOTT FAMILY FOUNDATION,WA,4043105,0,2500,2024,t
ELSTER FOUNDATION AGT,VA,4004970,0,1000,2018,f
Machias Savings Bank Community,ME,3942418,0,5000,2024,t
LIFERAY FOUNDATION,CA,3924804,0,500,2020,f
PAUL M ANDERSON FOUNDATION,WA,3905747,0,15000,2023,t
ENTELCO FOUNDATION,WA,3893082,0,1750,2023,f
THE MARY NORRIS PREYER FUND,NC,3862020,0,5000,2019,t
PETER AND CANDIS DOERKEN FOUNDATION,CA,3841444,0,89000,2022,t
ALBERSKUHN FAMILY FOUNDATION,MO,3838196,0,4375,2023,t
H P & GENEVIEVE CONNABLE FUND,MI,3829346,0,2000,2023,f
THE JOHN H AND H NAOMI TOMFOHRDE,MA,3822354,0,10000,2020,t
MACEIKONIS FAMILY FOUNDATION INC,FL,3820776,0,30000,2023,f
FREDERICK PITZMAN FUND,TX,3812128,0,1000,2020,t
WL & LOUISE SEYMOUR ENDOWMENT XXXXX3004,IL,3804773,0,30000,2024,t
DOLBER FAMILY FOUNDATION,NY,3784294,0,31250,2023,f
THE TIGER TAIL FAMILY FOUNDATION,NY,3723920,0,250,2019,f
Albert O Wilson Foundation Inc,DE,3713015,0,7000,2023,t
CHARLES SANDERS TRUST UW,MA,3703356,0,7500,2023,f
WEXNER FOUNDATION,OH,3686906,0,300,2022,t
XCEL ENERGY FOUNDATION,MN,3671471,0,25000,2023,t
GLEN AND DOROTHY STILLWELL,CA,3620077,0,10000,2022,t
TURNER CONSTRUCTION COMPANY FOUNDATION,OH,3595482,0,5000,2022,f
The Schumann Foundation,VA,3560087,0,25,2017,f
THE ELIZABETH C QUINLAN FOUNDATION,MN,3552905,0,7000,2023,t
Hall Family Foundation IRRV TR,CA,3531339,0,5000,2019,f
SCHULTZ ROBERT,PA,3528102,0,22618,2023,f
TYLER-LITTLE FAMILY FOUNDATION,MI,3526382,0,10000,2023,f
JOHN & FLORENCE LAWRENCE FOUNDATION INC,NY,3489337,0,10000,2023,f
HENRY & MYRTLE HIRSCH FOUNDATION,NY,3479313,0,500,2018,f
CLARK AND RUBY BAKER FOUNDATION,TX,3448994,0,15000,2021,t
THE HAMPTON FAMILY FOUNDATION,NE,3446714,0,6500,2022,t
PETER & JULIE FISHER CUMMINGS FOUNDATION,MI,3396269,0,10000,2018,f
Cuore e Mani Foundation,DE,3390154,0,7500,2023,f
THE CLINTON H & WILMA T SHATTUCK CHAR TR,MA,3369862,0,10000,2023,f
GEORGE T WELCH TESTAMENTARY TRUST,WA,3343876,0,4000,2020,t
HOLLOWAY FAMILY FOUNDATION INC,FL,3336991,0,7500,2020,t
Simmons Foundation - PerkinsThompson,ME,3331940,0,5000,2023,t
Western Wind Foundation,DE,3309558,0,4250,2019,t
MARY GARNER ESARY TRUST,WA,3308243,0,3000,2020,t
The Koski Family Foundation Inc,FL,3301468,0,15000,2023,f
E L AND R F HALLBERG FOUNDATION XXXXX5006,IL,3282610,0,5000,2021,t
LOWELL FIVE CHARITABLE FOUNDATION INC,MA,3272179,0,2000,2022,t
EBELL OF LOS ANGELES REST COTTAGE,CA,3248153,0,10000,2020,t
THE LONG BAY CHARITABLE FOUNDATION,FL,3241866,0,50000,2023,f
RIVERWAY FOUNDATION,MN,3239927,0,2000,2024,t
SWIFT FAMILY FOUNDATION INC,FL,3235687,0,500,2024,f
ARTHUR P SCHULTZ,PA,3230799,0,19624,2023,f
JOE LEE GRIFFIN FOUNDATION,AL,3202568,0,1000,2023,f
HAROLD W SWEATT FOUNDATION,MT,3177303,0,3500,2023,t
THE SHAH FAMILY FOUNDATION,FL,3143208,0,10000,2018,f
MELVIN C DRAFT FAMILY FOUNDATION,FL,3138740,0,4000,2023,f
PAUL AND BEATRIZ HICKS CHARITABLE,FL,3131973,0,5750,2021,f
DICK ALBERT & MARY CHARITABLE TR,NV,3130992,0,5000,2023,f
THE E WALTER HAUSSTETTE CHARITABLE,MO,3115189,0,5000,2018,f
CHARIS FUND,OR,3063308,0,5000,2022,t
SUFFOLK CARES CHARITABLE FOUNDATION,MA,3019645,0,10000,2018,f
SHIRLIE & OWEN SIEGEL FOUNDATION,IL,3015907,0,850,2023,f
BARON & BLUE FOUNDATION,TX,3013147,0,15000,2023,t
LUCILE AND MAURICE POLLAK FUND,NJ,2985175,0,250,2023,t
ENTERPRISE BANK & TRUST FOUNDATION,MO,2967794,0,338,2022,t
SANZONE FAMILY FOUNDATION,NJ,2954461,0,2500,2024,f
THE RACHAEL AND BEN VAUGHAN,TX,2950618,0,23000,2022,t
JOAN ARMOUR MENDELL FOUNDATION INC,FL,2950489,0,7500,2022,f
THE JAMF NATION GLOBAL FOUNDATION,MN,2937169,0,2607,2020,f
The William Gross Charitable Foundation,NJ,2928608,0,3000,2020,t
DREAMCATCHER FOUNDATION INC,FL,2894187,0,500,2023,t
MILDRED AND BERNARD DOYLE CHARITABLE TRUST,IL,2840041,0,12300,2020,f
COMERICA CHARITABLE FOUNDATION,MI,2825546,0,1500,2023,f
THE HARRY SHAPIRO CHARITABLE,FL,2821906,0,4500,2023,f
BANK OF HAWAII CHARITABLE FDN,HI,2804989,0,12500,2020,t
DEDHAM INSTITUTION FOR SAVINGS FOUNDATION,MA,2802395,0,2500,2023,t
MICHAEL V & ANN C CIRESI FOUNDATION,MN,2771345,0,7500,2020,f
Watermark Auto Group Foundation,DE,2731880,0,3000,2018,f
JANE M AND BRUCE P ROBERT,MO,2730012,0,500,2022,f
SEATTLE-SONORAN FOUNDATION,WA,2727828,0,10000,2023,t
The Victor Herbert Foundation,MA,2717017,0,3000,2017,t
MERSKY FAMILY FOUNDATION,MN,2703510,0,5900,2024,f
FISHER CHARITABLE FOUNDATION,ME,2687983,0,15000,2023,t
HOFFA MEMORIAL FOUNDATION TTEE,FL,2684858,0,3500,2023,f
WSM FOUNDATION,CA,2660412,0,26872,2024,f
ANNETTE J HAGENS MEMORIAL FOUNDATION,FL,2642531,0,3500,2020,t
J K BARKER FOUNDATION,CA,2635075,0,10000,2023,f
TR UW HELEN F KIMBALL-THE MOSES KIMBALL,MA,2621291,0,12500,2024,t
MARK AND KAREN RAUENHORST FOUNDATION,MN,2616255,0,2000,2022,f
The Sambol Family Foundation,FL,2606168,0,1000,2023,f
HOOD ESTHER GOWEN UW,PA,2600526,0,10000,2020,f
Amherst Foundation,TX,2586791,0,5000,2023,f
THE VIRGINIA & CHARLES BREWER,GA,2580485,0,1750,2019,f
THE VON GONTARD FAMILY FOUNDATION,MO,2563348,0,1300,2022,f
THE LASSOR AND FANNY AGOOS CHARITY FUND,MA,2539126,0,4250,2018,t
MASSACHUSETTS BANKERS ASSOCIATION,MA,2524742,0,1500,2022,f
TORCIVIA FAMILY FOUNDATION,NJ,2502055,0,500,2018,f
THE NORM AND BARB JOHNSON FAMILY,FL,2484676,0,5000,2020,f
ANDREW & EULA CARLOS FOUNDATION INC,GA,2467308,0,2000,2019,f
TUW THOMAS H PITTS,NV,2442381,0,2000,2023,t
Tyler Foundation,TX,2437604,0,1000,2022,t
ROBERT BRIGHAM TRUST,MA,2437517,0,6000,2023,f
THE ESTHER & MORTON WOHLGEMUTH,NY,2427275,0,138,2023,f
The Lee Foundation,FL,2426729,0,500,2021,t
THE SCHULTZ FOUNDATION INC,FL,2419284,0,1000,2023,f
Melrose Cooperative Bank Foundation,MA,2416323,0,6000,2023,t
Caryl H and Bernard M Susman Family,DE,2414396,0,200,2023,f
SWITZER BROTHERS CHARITABLE,FL,2394421,0,7500,2023,t
THE ARMSTRONG FAMILY FOUNDATION,CO,2380109,0,2500,2018,f
ARTHUR B FAIRMAN CHARITABLE TRUST,FL,2377240,0,25000,2020,t
MARGARET R BINZ FOUNDATION INC,FL,2375729,0,7500,2020,f
GULF WINDS CARES FOUNDATION INC,FL,2365123,0,17500,2023,f
MATTHEW T MELLON FOUNDATION-IMA,PA,2363648,0,25000,2023,f
SHEPARD MCCASKILL FOUNDATION,MO,2361605,0,5000,2020,f
FAITH & JAMES KNIGHT FOUNDATIONINC,NJ,2317845,0,500,2018,f
WIPFLI FOUNDATION INC,WI,2282799,0,500,2021,t
DOMINION ENERGY CHARITABLE FOUNDATION,VA,2263672,0,5000,2024,t
THE TILLIE JENNIE & HAROLD SCHWARTZ,FL,2257454,0,5000,2019,t
Helmstetter Family Foundation,CA,2255986,0,1000,2019,f
THE RICH FOUNDATION,TN,2254808,0,500,2017,t
THE RHEA BLACKWOOD CHARITABLE,NY,2246542,0,5000,2023,f
Bowline Fund,WA,2246154,0,5000,2018,f
WILLIAM F AND MARY LOUISE WISCHMEYER,MO,2246089,0,1000,2018,f
VNA FOUNDATION INC,FL,2245078,0,5000,2022,t
The Solstice Foundation Inc,DE,2212209,0,5000,2020,f
LAND O'LAKES FOUNDATION,MN,2211820,0,250,2022,t
THE BURRUSS FOUNDATION,FL,2209708,0,45000,2022,f
Sidener Foundation,MO,2202775,0,1500,2021,t
THE GIBSON DUNN & CRUTCHER FOUNDATION,CA,2187165,0,25000,2020,t
COMMUNITY SERVICE FOUNDATION OF BAY,FL,2186402,0,5000,2022,t
THE HAGEMAN FOUNDATION INC,IN,2175531,0,1000,2022,f
WHEELS IN THE WOODS FOUNDATION INC,FL,2159368,0,150000,2022,f
THE BOB AND GAYE HARRIS FOUNDATION,CA,2151947,0,5000,2024,f
HUGO A AND THELMA ASPEGREN CHARITABLE TRUST,NE,2126625,0,6000,2020,t
MGS & RRS CHARITABLE TRUST,MA,2120877,0,175,2021,f
THE PAULOS FOUNDATION,TX,2118921,0,15000,2023,f
THE WARBURTON FAMILY FOUNDATION INC,FL,2115025,0,5016,2019,f
Theodore A Von Der Ahe Jr Trust,CA,2099434,0,4000,2020,f
Minneapolis Area Association of Realtors,MN,2097303,0,4000,2022,t
THE FLORENCE FOUNDATION,TX,2096385,0,10000,2021,t
CAMPBELL FOUNDATION,MN,2089470,0,15000,2023,f
CLARA AND ART BALD TRUST,WA,2084822,0,3000,2020,t
SHREWSBURY FOUNDATION,NJ,2041986,0,10000,2023,f
ALBERT F SCHENCK NO 8,PA,2040043,0,109115,2024,f
BENSON FAMILY FOUNDATION,CO,2020777,0,12000,2023,f
Tillery Family Foundation,DE,2009112,0,625,2019,f
RAINFORTH FOUNDATION INC,WA,2007386,0,10000,2020,f
SUE SMITH HARRISON FAMILY FOUNDATION,TX,1982553,0,3500,2019,f
M & H SCHWARTZ FAMILY FOUNDATION,NY,1959607,0,500,2019,f
WESTERN UNION FOUNDATION,CO,1938380,0,50,2022,f
POTTHOFF FAMILY FOUNDATION,MO,1931318,0,5000,2024,f
ROY AND LEONA NELSON FOUNDATION,WA,1927187,0,1000,2023,f
THE PRUFROCK FOUNDATION,MO,1920098,0,1000,2023,f
JUDITH & DAVID RIVKIN FOUNDATION,NJ,1913037,0,55000,2023,f
BEEKS FAMILY LEGACY FOUNDATION,WA,1907986,0,20000,2022,t
WHELAN FOUNDATION INC,NJ,1906950,0,5000,2023,t
CHRISTENSEN CHARITABLE FOUNDATION INC,NE,1902937,0,1750,2020,f
ANTHONY-MAYMUDES FAMILY FOUNDATION,WA,1891845,0,3750,2023,f
Russell E Browning Family Foundation Inc,MO,1881162,0,3000,2023,f
SADAKO K JUDD PRIVATE FOUNDATION IN,FL,1875163,0,2000,2022,f
THE GERALD M AND ROBERTA N QUIAT FAMILY,NJ,1869429,0,4500,2022,f
ROACH MAXAM FAMILY FOUNDATION,CA,1860152,0,2000,2020,t
The State Auto Foundation,OH,1853855,0,10000,2022,f
THE YADATHI FAMILY FOUNDATION,CA,1850038,0,5000,2024,f
GEOMAR FOUNDATION INC,CA,1848416,0,2500,2022,f
RAY SUTTON MCGEHEE FOUNDATION,FL,1842515,0,2430,2022,t
ROBERT AND MABEL LIPSCOMB FD XXXXX7006,IL,1835398,0,7541,2024,t
The Karina Foundation,MA,1815247,0,2500,2022,t
EISEN-WALD FOUNDATION,TN,1812099,0,500,2023,t
THE BERNATCHEZ FAMILY FOUNDATION,FL,1810935,0,4000,2023,t
William R Courtney and Valerie M,FL,1792975,0,5000,2020,f
THE KARL SLOVIN PRIVATE CHARITABLE,CA,1791558,0,500,2020,f
DOHERTY FAMILY FOUNDATION,MN,1759240,0,5000,2019,f
GEORGE AND MARIA TALISSE CHARITABLE,FL,1741863,0,2000,2022,f
SPARTANNASH FOUNDATION,MI,1738640,0,10000,2020,f
OAK GROVE FOUNDATION MA,MN,1708742,0,500,2020,f
DEAN FOUNDATION INC,CO,1704166,0,3000,2018,f
THE MARILYN S BROAD FOUNDATION INC,NJ,1693953,0,20000,2021,f
THE FERGUSON FAMILY CHARITABLE,AL,1691137,0,2500,2023,f
HOWARD C CONNOR CHARITABLE FOUNDATION EASTERN,MA,1690687,0,10000,2023,t
THE TESUQUE FOUNDATION INC,CA,1672784,0,20000,2018,t
THE YANKEE SPRINGER FOUNDATION,IL,1671603,0,100,2019,f
KPF FOUNDATION,NY,1671124,0,5000,2018,t
DEACON CHARITABLE FOUNDATION,CA,1665880,0,4000,2022,t
CONSTON FOUNDATION,PA,1656794,0,500,2024,f
CELANESE FOUNDATION,TX,1656690,0,10,2019,t
OLSSON FAMILY FOUNDATION,NE,1650898,0,2500,2023,t
JOSEPH PERINI MEMORIAL FOUNDATION,MA,1650150,0,5000,2023,f
THE CASHION FOUNDATION,CA,1649242,0,2450,2020,f
THE BESSE JOHNSON AND GEORGE BLANTON ALLEN,FL,1628571,0,3750,2023,t
THE JASON HAYES FOUNDATION,MA,1623382,0,2500,2018,t
MCKESSON FOUNDATION INC,TX,1615367,0,176,2022,f
LARUE COFFEE CHARITABLE FOUNDATION,NE,1605301,0,2000,2021,t
GABRIEL HOMES FOUNDATION,VA,1590566,0,2500,2023,f
LEWIS-WARBURG FOUNDATION,NV,1587544,0,4156,2019,f
OFFERDAHL FAMILY FOUNDATION,NV,1585391,0,1000,2021,f
HELEN SPERRY LEA FOUNDATION,CA,1582281,0,15000,2024,t
LANDRUM FAMILY FOUNDATION INC,FL,1568642,0,1000,2023,f
ABRAHAM W RIZIKA FOUNDATION,MA,1566851,0,1142,2023,t
CAMBRIDGE SAVINGS CHARITABLE,MA,1565166,0,50000,2023,f
PHYLLIS & DONALD KAHN FOUNDATION INC,MN,1564930,0,500,2020,f
LILIAN WRIGHT & C EMIL BERGLUND,MN,1555079,0,2000,2023,f
CHECKRORG,CA,1546114,0,2000,2023,f
Charles & Esther Lee Kimerling Charitable,DE,1527921,0,1000,2021,f
ROBERT E BROWNING FUND,KS,1520496,0,3500,2022,f
JMT FOUNDATION TRUST,AL,1511386,0,24610,2024,f
KING SPRUCE COMPANY,MA,1509854,0,15000,2023,f
ARLINE SMYTH QUINN CHARITABLE FOUNDATION,IL,1505599,0,7500,2023,f
O'Neill Family Charitable Foundation,FL,1461056,0,5000,2020,f
PINE RIVER FOUNDATION,WA,1451158,0,2000,2020,f
KRONLUND FOUNDATION CHARITABLE TRUST,IL,1447124,0,5000,2023,t
MORTON H MEYERSON FAMILY FOUNDATION,TX,1424259,0,9000,2022,f
MELLEMA FAMILY FOUNDATION,CA,1414228,0,5000,2023,f
REESE FAMILY CHARITABLE FOUNDATION,FL,1406064,0,1400,2021,t
WILLIAM M MILLER TW,IL,1396179,0,3922,2023,t
VC Fund,OR,1388440,0,10000,2023,t
ROBBINS NEST FOUNDATION,MA,1386192,0,2500,2023,f
CLA FOUNDATION,MN,1351324,0,25000,2019,f
ENCHANTED BACKPACK,IL,1346080,0,246,2022,t
GRAHAM HUNTER FOUNDATION INC,NY,1333618,0,1500,2022,f
BRADY S JOHNSTON PERPETUAL CHR TST,FL,1326146,0,2100,2021,f
Fernando Sanchez and Quintin Yearby,NY,1324089,0,131619,2024,t
ROSE AHLBRAND CHARITABLE TRUST 1045000647,OH,1322723,0,20736,2023,f
CHARLES L WEISBERG FAMILY FOUNDATION,KY,1321725,0,350,2021,f
HAROLD J BELKIN FOUNDATION,CA,1318678,0,1500,2022,f
H WILLIAM LURTON FOUNDATION,MN,1309125,0,1000,2023,f
BREITMAN FAMILY FOUNDATION INC,NJ,1305625,0,2500,2018,f
FREDERICK C LUTZE AND CHRISTIAN,TX,1303738,0,7500,2024,f
ECHO FOUNDATION,AL,1294858,0,7500,2023,f
SARASOTA COMMUNITY FDN,NV,1289631,0,5000,2019,t
Liddy Family Foundation,CT,1273097,0,100,2022,f
THE WARDELL FAMILY FOUNDATION INC,NJ,1270993,0,158,2024,f
BONNIE & CLIFFORD BRADEN FOUNDATION,WA,1249446,0,10000,2024,t
WOLF FAMILY CHARITABLE FOUNDATION,OR,1237352,0,1000,2023,f
KERR FAMILY FOUNDATION,PA,1229941,0,500,2023,f
DANIEL AND MARY REEVES FOUNDATION,NY,1229692,0,2000,2020,f
THE MARISA ANTONINI FOUNDATION,CA,1226547,0,6000,2020,f
JOAN W CRESS CHARITABLE TRUST TR,SC,1223794,0,6706,2023,f
EASTERN CHARITABLE FOUNDATION,MA,1222621,0,50000,2023,t
STINEHART FAMILY FOUNDATION,CA,1218391,0,1500,2020,f
IDELSON FAMILY FOUNDATION TRUST,FL,1213697,0,7500,2018,f
CLC-DEW FOUNDATION INC,GA,1211786,0,5000,2021,f
WALTER AND LEONA SCHMITT FAMILY,MN,1201904,0,5000,2021,f
HELEN MARTHA SCHIFF FOUNDATION,WI,1197612,0,2000,2021,f
STU SIEGEL FOUNDATION,FL,1183047,0,509,2023,t
O'DONNELL FAMILY CHARITABLE TRUST,MA,1173697,0,1000,2022,f
NITRAM FOUNDATION INC,NJ,1164170,0,4000,2024,f
KARSTEN FAMILY FOUNDATION,CA,1164146,0,1000,2018,f
JERRY AND DONNA SMITH FAMILY,OR,1148292,0,500,2020,t
FISHEL FAMILY FOUNDATION,TN,1138868,0,1900,2023,f
THE SWEETLAND OF FREEDOM FOUNDATION,CA,1129543,0,1000,2020,f
THE LEVINE FAMILY CHARITABLE TRUST,NY,1126104,0,1000,2024,f
THE DAVID LINDSAY FOUNDATION INC,FL,1124222,0,8000,2021,f
Theresa Farnsworth Wittmann Charitable,NE,1110088,0,20000,2020,f
BIG HILL FOUNDATION,GA,1099827,0,750,2023,f
JOHN HARDING FAMILY FOUNDATION,CA,1089500,0,510,2022,f
F ROSS BIRKHILL AND LAURA JEAN BIRKHILL,MI,1088366,0,3000,2018,t
COUSINS PROPERTIES FOUNDATION INC,GA,1080081,0,12500,2020,t
STERLING R FBO CHARITIES 4947 TUW,NV,1074655,0,6842,2023,f
CHRIST CHURCH HOSPITAL T W,NV,1068986,0,57600,2023,f
HOEGEMEYER FAMILY FOUNDATION,NE,1065990,0,1000,2023,t
CHARLES WACKERLE FOUNDATION INC,FL,1057769,0,6250,2020,f
A B & J NOYES FOUNDATION INC,NY,1052504,0,500,2024,f
LAWRENCE MODEL LODGING HOUSES TRUST,MA,1050658,0,2500,2024,t
ALVORD FAMILY FOUNDATION,MA,1048206,0,2000,2023,f
ROBIN SMITH CHARITABLE TRUST,FL,1046715,0,0,2024,f
LILLIAN R WARDMAN IRR TR,FL,1045460,0,4750,2022,f
NORMAN E PETERSON & DIANA LAGER PETERSON,FL,1044831,0,1000,2023,t
THE PREMSELAAR FOUNDATION INC,NJ,1039868,0,38,2019,f
THE APPLEBY FOUNDATION,FL,1031708,0,5000,2023,t
Dominium Foundation,MN,1030334,0,10000,2022,f
DAVID D & MARY F GRUMHAUS FUND,IL,1027115,0,2000,2021,t
MG2 FOUNDATION,WA,1020639,0,500,2024,f
SIMMONS FAMILY FOUNDATION,CA,1015162,0,75000,2023,f
Warren P And Joanne C Powers Charitable,FL,1014748,0,5000,2022,t
Horace Dawson Foundation,MD,1013576,0,1000,2022,f
LOLA MANN MEMORIAL FUND,FL,1010221,0,500,2023,t
SWEITZER FOUNDATION,WI,1007410,0,2500,2023,t
KRAKAUER JOHN CHARITABLE TR,NV,1004198,0,10000,2023,t
JACOBSEN FAMILY FOUNDATION,MN,997105,0,5000,2022,f
SHERBROOKE FAMILY CHARITABLE TRUST,MA,995089,0,500,2019,f
Paradocs Dr Tan Creti and Dr Mason,IA,991861,0,14993,2020,f
PAUL E AND MARY GRACE UTTERBACK,MS,990232,0,2500,2022,f
THE CAROL AND MICHAEL WEISMAN,NY,974322,0,5000,2018,f
Flood Family Foundation II Inc,GA,973796,0,80000,2022,f
LEERINK FAMILY FOUNDATION INC,MA,967946,0,1000,2018,f
MALDEN INDUSTRIAL AID SOCIETY,MA,959610,0,4000,2018,t
AGILENT TECHNOLOGIES FOUNDATION,CA,957202,0,2800,2019,f
KAUFMAN FOUNDATION INC,CA,944045,0,1000,2020,f
McIntyre Family Foundation,MN,938170,0,2000,2023,t
The Sheth Family Foundation,GA,934913,0,400,2018,t
ROBERT & GRACE BROD FAMILY FOUNDATION,MO,934292,0,500,2023,f
JB FOUNDATION INC,FL,931431,0,2000,2023,f
HENRY STUEBNER,PA,931307,0,2015,2024,f
THE J2 FOUNDATION,CA,929548,0,3750,2023,f
FRED AND ANN MARGOLIN FOUNDATION,TX,915435,0,600,2019,t
PERDUE FAMILY FOUNDATION INC,WI,912471,0,2138,2020,f
MELVIN SPITCAUFSKY MEMORIAL FOUNDATION,KS,907058,0,1000,2020,f
YANCEY P WINANS TESTAMENTARY TRUST,WA,895963,0,3000,2021,t
THE J W & MILDRED A KISLING,MO,891040,0,1000,2023,f
THE RICHARD AND BEVERLY DILLING,IN,887391,0,50000,2020,f
THE PLYMOUTH ROCK ASSURANCE FOUNDATION,MA,879960,0,12750,2022,f
ARTHUR GLICK AND DAVIDA SCHLANK,PA,877074,0,2084,2021,f
THE MARY C ROYAL FOUNDATION,MO,877018,0,45000,2023,t
THE CROSSWOLS FOUNDATION,CT,871892,0,300,2023,f
HUGH A WYATT & JEAN P WYATT FOUNDATION INC,AL,871140,0,2500,2023,f
SGT MARK ANTONOWITSCH FOUNDATION,CA,870422,0,10000,2024,f
HESED FOUNDATION INC,NH,864451,0,4000,2023,t
Henry Meyer Family Foundation,FL,863052,0,250,2018,f
TEJA & LEANORA JOUHAL INC,AL,862926,0,1000,2023,t
THE A LEON AND MARY H JEFFREYS,GA,858001,0,2500,2021,f
W J And Kathy Chamblin Family Foundation,IL,856772,0,5000,2019,f
GEFEN-JAFFE FAMILY FOUNDATION INC,FL,854011,0,500,2019,f
LULA H MCAFEE FOUNDATION XXXXX7006,IL,851392,0,11000,2023,f
THE NEWCOMB FOUNDATION,OR,849066,0,1500,2022,t
PICARD-DANNHEISSER FAMILY FOUNDATION INC,FL,845465,0,1000,2020,t
BUIST FOUNDATION,MI,842083,0,992,2020,t
TIMOTHY 617 FOUNDATION,TN,839326,0,1000,2023,t
BETTENHAUSEN FAMILY FOUNDATION,NE,837584,0,3750,2023,t
M Jay Kramer Foundation,NY,827685,0,1000,2018,t
ITA GROUP FOUNDATION,IA,826865,0,5000,2023,f
BERNARD G AND NANCY J BERKMAN,MA,822213,0,600,2024,f
LEVIN FAMILY FOUNDATION,CA,812685,0,1850,2020,t
TJOOTJIM FOUNDATION,HI,805886,0,40000,2023,f
LOEB FAMILY FOUNDATION,WA,804805,0,1000,2021,f
GRAESSER FOUNDATION,AZ,804035,0,15000,2022,t
RAYMOND L AND RITA M METZNER,NE,804028,0,2350,2023,f
TAZEWELL FOUNDATION,TX,803870,0,10000,2023,f
John Garbaczewski Family Foundation,CA,797428,0,500,2022,f
The Thomas and Michele Parsons Family,DE,792853,0,1750,2023,f
The Andover Companies Charitable Foundation,DE,792463,0,97,2023,f
JOHANSEN T H FAMILY FDN,NV,783669,0,1500,2023,f
ST ANDREWS FOUNDATION,IL,773603,0,1500,2022,f
THE O'BRIEN FAMILY FOUNDATION,CA,769853,0,17500,2023,f
NORTON & BARBARA PECK FAMILY,OR,769615,0,9600,2022,f
GRADISON FOUNDATION,OH,751820,0,1750,2023,t
BERGERSON FAMILY FOUNDATION,MN,750199,0,62500,2023,f
DR MAXWELL L & FLORENCE C,NY,726605,0,1500,2018,f
P&N Charitable Foundation Trust,NE,726324,0,1200,2023,t
THEDA BOHRER WENDY AND TRACEY SHAPIRO,FL,724941,0,3000,2020,t
FOUNDATION FOR FINANCIAL INDEPENDENCE,VA,721243,0,17500,2024,f
CLAY JENKINS FAMILY FOUNDATION,TX,719937,0,200,2023,f
SJOSTROM & SONS FOUNDATION,IL,715668,0,100,2023,t
SHULMAN FAMILY FOUNDATION,NV,711194,0,4000,2024,f
The Aspen Grove Foundation,DE,710315,0,2750,2024,f
Ardor Foundation,CA,708880,0,300,2024,f
FREDERICK STEARNS FOUNDATION,WA,708359,0,4750,2023,t
BARKER FAMILY FOUNDATION,CA,707618,0,800,2021,t
RICHARD AND GINA KLYM FOUNDATION I,FL,704677,0,5000,2018,f
HAROLD & NANCY KAPLAN FOUNDATION,FL,704659,0,1000,2020,f
DD HOLMES FAMILY FOUNDATION,WA,689899,0,1500,2022,f
GARY SISTERS FOUNDATION,MI,687777,0,5000,2023,t
ROTTMAN FAMILY CHARITABLE FOUNDATION,MI,687608,0,6250,2019,f
THE WELSH FOUNDATION,PA,677688,0,1021,2023,f
