address,city,state,foundation_count,combined_assets,combined_grants,foundation_names,likely_company
626 COMMERCE DRIVE - 3RD FLOOR,AMHERST,NY,9,33939006.0,2001530.0,ANNA C BOHORAD TRUST B | ANNE MCCORMICK TW | ANNE MCCORMICK TW (CHARITABLE PURPOSES) | CHARLES C GLAZER CHARITABLE REM | EDWILL B & RACHEL H MILLER TRUST | MARGARET O MCCORMICK ET AL UNDER DEED OF | MARTIN L HOOVER TW CHAR | MEEHAN-HOLTZ CHARITY TA | VANCE C MCCORMICK TW (LOCAL CHARITIES),Unknown - needs research
PO BOX 1860,BENTONVILLE,AR,8,33433039603.0,2332879913.0,Alice L Walton Foundation | ALICE L WALTON FOUNDATION | Alumbra Innovations Foundation | ALUMBRA INNOVATIONS FOUNDATION | Arvest Foundation | ARVEST FOUNDATION | Builders Initiative Foundation | Builders Initiative Foundation (FKA The Builders Initiative Inc) | THE BUILDERS INITIATIVE INC | Town Branch Foundation | Walton Family Foundation Inc | Wend II Inc | WEND II INC | Zoma Foundation Inc | ZOMA FOUNDATION INC,Walton Family (Arvest)
1100 NORTH MARKET STREET,WILMINGTON,DE,8,75246466.0,8035872.0,CASSIDY WW & ARMSTRONG MC TR | IDA J MILLER VARIOUS CHARITIES 004212-000 | KELLY FOR ITA FOUNDATION 008975-000 | M & L B LEIBOWITZ CHARITABLE TRUST 031844-001 | MARY H WHITCOMB TRUST UW | RICHARD F & LENA S BARKER TR FUND | TIDD ALBERT J TRUST UA | VICTORY FOUNDATION | VICTORY FOUNDATION 042165,Unknown - needs research
135 S LASALLE ST IL4-135-14-19,CHICAGO,IL,8,7760338.0,330770.0,A W FARWELL FOR CHGO HOME DESTITUTE CHRIPPLED | GEORGE J WILLIAMS CHARITABLE TRUST | GEORGE R S-VARIOUS CHARITIES | HARRUB CHFIRST BAPTIST CH WTBY | HARTMAN F AFIVE PT MISSION ETAL | IR TR UA BETTY LOVE | ROSTRA ENGINEERED COMP SUN FD | W THOMAS KITCHEN TRUST,Unknown - needs research
PO BOX 630858,CINCINNATI,OH,8,125411015.0,12652468.0,7 PRINCIPLES FOUNDATION INC CO FIFTH THIRD | DODDS ALEXANDER TR UW | IRR TR UW CARRIE FILER | PUMPKIN HILL FOUNDATION CO FIFTH THIRD BANK | SCHNEIDER PHILIP H TR FOR VILLAGE | SOLE SURV TR UW CHARLES E SCHELL | THE GENERATION TRUST | TOM & EVELYN INGLE CHARITABLE TRUST C,Unknown - needs research
POBOX 1532 AFT,PENNINGTON,NJ,8,56772895.0,9286034.0,EWS FOUNDATION | FUNDACION ARAUCARIA DIMA | HELLEN I PLUMMER CHARITABLE FOUNDATION | LISA MCGRAW FIGURE SKATING FDN | NITRAM FOUNDATION INC | SHAMROCK FIVE FOUNDATION INC | VRANOS FOUNDATION | W & J SALES FAMILY FOUNDATION INC,Unknown - needs research
PO BOX 1908,ORLANDO,FL,7,476104839.0,78691885.0,COLE M CHESTER TA | E & Z NONNAS TUW FBO MOST WORSHIPFUL | LYLE R BAKER & BENICE V BAKER CHARITAB | PLANT CAROLINE G TUW | TR SARAH MOSS FELLOWSHIP FD UW | TR UW ALVAH W LANCASTER | TRUIST FOUNDATION FKA SUNTRUST FOUNDATION,Unknown - needs research
PO BOX 831041,DALLAS,TX,7,189336126.0,16671996.0,BERTHA AND JOHN GARABEDIAN CHARITABLE | GEORGE W & MARY B PATTON FOUNDATION | GEORGE W TRIMBLE TRUST | MINERVA GUNDELFINGER CHARITABLE TRUST | ROY L SHARPE TRUST | SUCC TR UW WARREN F BRENIZER | WS & EC JONES TESTAMENTARY TRUST,Unknown - needs research
820 GESSNER 800,HOUSTON,TX,7,79950804.0,6024900.0,MEGARA FOUNDATION | SAINT BENEDICT OF NURSIA FOUNDATION | SCALER FOUNDATION INC | THE CLARENCE WESTBURY FOUNDATION | THE CULTURAL HERITAGE PRESERVATION FUND | THE SEARCH FOUNDATION | THE WO FOUNDATION,Unknown - needs research
314 LYTTON AVE,PALO ALTO,CA,7,48549955371.0,2113353668.0,128 COLLECTIVE FOUNDATION | ADDITIONAL VENTURES FOUNDATION | BREYER FAMILY FOUNDATION | CHAN ZUCKERBERG FOUNDATION | Chan Zuckerberg Initiative Foundation | CHAN ZUCKERBERG INITIATIVE FOUNDATION | GOOD VENTURES FOUNDATION | SUSIE AND GIDEON YU FOUNDATION | TAHOE BLUE FOUNDATION,Chan Zuckerberg Initiative
820 GESSNER NO 800,HOUSTON,TX,7,47935649.0,3421528.0,MEGARA FOUNDATION | SAINT BENEDICT OF NURSIA FOUNDATION | SCALER FOUNDATION INC | THE CLARENCE WESTBURY FOUNDATION | THE CULTURAL HERITAGE PRESERVATION FUND | THE SEARCH FOUNDATION | THE WO FOUNDATION,Unknown - needs research
PO BOX 1532 AFT,PENNINGTON,NJ,7,48187872.0,6112798.0,FUNDACION ARAUCARIA DIMA | HELLEN I PLUMMER CHARITABLE FOUNDATION | LISA MCGRAW FIGURE SKATING FDN | MOSZKOWSKI FAMILY FDN-CASH | NITRAM FOUNDATION INC | VRANOS FOUNDATION | W & J SALES FAMILY FOUNDATION INC,Unknown - needs research
PO BOX 185,PITTSBURGH,PA,6,295705018.0,13411126.0,ARTHUR VINING DAVIS FOUNDATION #2 | DILLEY EDWARD H - UA | LAVINO EDWIN M - UD FOUNDATION | MARTIN M M TW H G LONG HOM | MC KIM ELIZABETH BAIRD UD 22142 | VAN HORN MAE C TR U A I,Unknown - needs research
285 DELAWARE AVENUE 3RD FLOOR,BUFFALO,NY,6,37045825.0,2053948.0,ANNE MCCORMICK TW | ANNE MCCORMICK TW (CHARITABLE PURPOSES) | CHARLES C GLAZER CHARITABLE REM | MARGARET O MCCORMICK ET AL UNDER DEED OF | MARTIN L HOOVER TW CHAR | VANCE C MCCORMICK TW (LOCAL CHARITIES),Unknown - needs research
PO BOX 1558 DEPT EA5W86,COLUMBUS,OH,6,27226556.0,1858531.0,BAIRD BROTHERS CO FOUNDATION OAG # 79-0577 | CHUPAK TUW FBO HERMITAGE VOLUNTEER | EDWARD V & JESSIE L PETERS CHARITABLE TRUST | JENKINS FBO EASTERN STAR | OLAF S WESSEL CHARITABLE TRUST | OLAF S WESSEL CHARITABLE TRUST OAG #93-0274 | ROBERT T ROBINSON CHARITABLE TRUST,Unknown - needs research
REGIONS BANK TRUST DEPT P O BOX 1,BIRMINGHAM,AL,6,13265839.0,640990.0,DINWIDDIE TR UWWORTHY POOR (PRE 1969 | E MILNER TRUST UW (PRE-1969 CHARITABLE | FLOSSIE R CARTER CHARITABLE TRUST UW | GERTRUDE V TURNER CRAT | GERTRUDE V TURNER CRAT UW | JOHN I MORRILL FOUNDATION | STPAULINDTRSCH,Unknown - needs research
PO BOX 1501 NJ2-130-03-31,PENNINGTON,NJ,5,14078403.0,644938.0,CHARLES PHYLLIS GOTTLIEB MEMORIAL | MAGISTRO FAMILY FOUNDATION INC | PRIVITERA FAMILY CHARITABLE FDN | RUTH E BATES CHARITABLE TRUST | ST ROMAIN FAMILY FDN DIMA-IXIS,Unknown - needs research
545 MADISON AVENUE 600,NEW YORK,NY,5,28993063.0,11480053.0,CJM FOUNDATION | MGG FOUNDATION | PLM FOUNDATION | SMF FOUNDATIONJM INC | SMF FOUNDATIONJMM INC,Unknown - needs research
PO BOX 2907 - MC 100-01-02-50,WILSON,NC,5,5347346.0,167409.0,GEORGE T JACKSON AND GEORGIANA W JACKSON | H AND N HENRY MEM TR | JACK & NANCY RAGLAND MEMORIAL TRUST | REMUS R ROUSE TUW GOOD SHEPHERD | ROBERT D &AMP MARGARET W QUIN FDN,Unknown - needs research
401 E 8TH ST STE 319,SIOUX FALLS,SD,5,370780615.0,34639931.0,BLYTHE BRENDEN-MANN FOUNDATION | BRANCHES FOUNDATION | BRENDEN MANN FOUNDATION CO DORSEY & WHITNEY | CH ROBINSON WORLDWIDE FOUNDATION | WYMAN FAMILY CHARITABLE FOUNDATION,Unknown - needs research
388 GREENWICH ST TAX 19TH FL,NEW YORK,NY,5,31875753.0,2020815.0,CHARLES L LINDEMANN SCIENTIFIC | RUBY B FLEMING UA 2-27-74 | TTEE ANNA WEIR HUBBARD UW | TTEES EPPLEY FD FOR RESEARCH CITIBANK NA | TTEES LYRIC FDN INC UW V K C CITIBANK NA,Unknown - needs research
PO BOX 1532,PENNINGTON,NJ,5,14819077.0,543366.0,HUGH S GOULD FOUNDATION | JACOB J LICHMAN IRREV MEMORIAL TRUST | RUTH E BATES CHARITABLE TRUST | STEWART LAURA MAY T U W | THE PHELPS FOUNDATION TRUST,Unknown - needs research
