,,,,,,,,,,,,,
ein,business name,state,total assets,grantee count,cb grant count,intermediary grant count,paid officer count,phone,website,top officer name,top officer title,segment,segment priority
541759773,AMERICAN WOODMARK FOUNDATION INC,VA,"$1,278,837", 260 , 7 , 20 ,0,5406659100,AMERICANWOODMARK.COM,RICHARD HARTMAN,SECRETARY,Intermediary Funders,1
366068724,Dr Scholl Foundation,IL,"$207,489,894", 258 , -   , 33 ,3,8475597430,www.drschollfoundation.com,Pamela Scholl,Board Chairman/President,Intermediary Funders,1
741403105,The Moody Foundation,TX,"$2,228,364,246", 253 , 2 , 13 ,1,4097971500,www.moodyf.org,Ross R Moody,Trustee/Vice Chair,Intermediary Funders,1
830590696,DOGWOOD HEALTH TRUST,NC,"$1,896,083,073", 249 , 118 , 59 ,2,8287716710,WWW.DHT.ORG,ANTONY E CHIANG,CEO,Intermediary Funders,1
941624987,KORET FOUNDATION,CA,"$315,527,122", 245 , 319 , 13 ,2,4158827740,WWW.KORET.ORG,MICHAEL J BOSKIN,DIRECTOR,Intermediary Funders,1
844783133,ROUND ROOM GIVES INC,IN,"$1,159,226", 240 , 2 , 13 ,0,8448227625,TCCROCKS.COM WIRELESSZONE.COM,COURTNEY KIBBLE,EXECUTIVE DIRECTOR,Intermediary Funders,1
823691183,DORIS DUKE CHARITABLE FOUNDATION INC,NY,"$2,180,074,293", 235 , 118 , 37 ,0,9082433619,WWW.DORISDUKE.ORG,Edward P Henry,CEO/President,Intermediary Funders,1
251127705,RICHARD KING MELLON FOUNDATION,PA,"$2,601,768,833", 234 , 8 , 18 ,1,4123922800,WWW.RKMF.ORG,RICHARD A MELLON,TRUSTEE/CHAIRMAN/CEO,Intermediary Funders,1
510155772,E RHODES AND LEONA B CARPENTER,PA,"$239,474,288", 231 , 32 , 26 ,1,2159793222,CARPENTERFOUNDATION.US,ANN B DAY,DIRECTOR/PRESIDENT,Intermediary Funders,1
383853264,BISSELL Pet Foundation,MI,"$4,578,467", 229 , -   , 12 ,0,,http://www.bissellpetfoundation.org,Mark J Bissell,Director/President,Intermediary Funders,1
237376427,Helen V Brach Foundation,IL,"$127,921,392", 222 , 27 , 43 ,3,3123724417,https://www.insidephilanthropy.com/find-a-grant-places/illinois-grants/helen-v-brach-foundation,James J O'Connor,Director,Intermediary Funders,1
366108775,LLOYD A FRY FOUNDATION,IL,"$198,005,600", 222 , 88 , 15 ,2,3125800310,FRYFOUNDATION.ORG,Sydney Sidwell,President and Secretary,Intermediary Funders,1
746078530,Carl C Anderson Sr and Marie Jo Anderson,TX,"$64,104,719", 217 , 14 , 11 ,2,8888663275,www.theandersonfoundation.org,Carl Anderson III,Chairman,Intermediary Funders,1
621322826,JOHN TEMPLETON FOUNDATION,PA,"$3,398,215,797", 215 , 1 , 18 ,4,6109412828,WWW.TEMPLETON.ORG,Jinde Guo,"Vice President, INVESTMENTS",Intermediary Funders,1
521700855,MITSUBISHI ELECTRIC AMERICA FOUNDATION,VA,"$29,174,869", 212 , -   , 14 ,0,7032768245,WWW.MEAF.ORG,ANGELA ARLIA,DIRECTOR,Intermediary Funders,1
043365869,BERKSHIRE BANK FOUNDATION INC,MA,"$18,644,149", 203 , 16 , 19 ,0,4132363733,BERKSHIREBANK.COM,MICHAEL J FERRY,Chairman,Intermediary Funders,1
820548352,ESL CHARITABLE FOUNDATION,NY,"$76,265,678", 203 , 13 , 15 ,0,5853361000,N/A,DAVID FIEDLER,CHAIR,Intermediary Funders,1
141810419,BANK OF GREENE COUNTY,NY,"$11,848,394", 190 , 6 , 10 ,0,5189432600,WWW.THEBANKOFGREENECOUNTY.COM,DONALD GIBSON,PRESIDENT & CEO,Intermediary Funders,1
356644088,Nina Mason Pulliam Charitable Trust,IN,"$427,643,046", 190 , 109 , 16 ,2,3172316075,www.nmpct.org,Joshua Abel,President & CEO,Intermediary Funders,1
300127892,NEW YORK STATE HEALTH FDN,NY,"$360,607,673", 187 , 9 , 19 ,1,2126647656,WWW.NYHEALTHFOUNDATION.ORG,DAVID SANDMAN,PRESIDENT & CEO,Intermediary Funders,1
131623877,ALFRED P SLOAN FOUNDATION,NY,"$2,116,962,267", 182 , -   , 20 ,2,2126491649,WWW.SLOAN.ORG,Adam Falk,Trustee/President,Intermediary Funders,1
510070060,RASKOB FOUNDATION FOR CATHOLIC,DE,"$195,461,097", 175 , 140 , 45 ,1,3026554440,WWW.RFCA.ORG,THERESA G ROBINSON,EXECUTIVE DIRECTOR,Intermediary Funders,1
756015322,Meadows Foundation Inc,TX,"$694,306,466", 172 , 3 , 12 ,2,2148269431,www.mfi.org,Alison Flener,"Director, Pres and CEO",Intermediary Funders,1
383332791,ARCUS FOUNDATION,NY,"$275,369,766", 168 , 437 , 30 ,0,2124883000,WWW.ARCUSFOUNDATION.ORG,JON L STRYKER,BOARD PRESIDENT,Intermediary Funders,1
540597601,Public Welfare Foundation Inc,DC,"$601,086,862", 166 , 11 , 11 ,5,2029651800,WWW.PUBLICWELFARE.ORG,FREIBERG JINA,DIRECTOR,Intermediary Funders,1
363556764,MIDCONTINENT FOUNDATION,MN,"$62,567", 164 , -   , 10 ,0,9528442600,https://www.localconditions.com/weather-bloomington-minnesota/55401/traffic.php,WYNNE HAAKENSTAD,EXECUTIVE DIRECTOR,Intermediary Funders,1
742132676,Anschutz Family Foundation,CO,"$45,765,575", 160 , 236 , 13 ,0,3032932338,www.anschutzfamilyfoundation.org,Sue Anschutz-Rodgers,"Chair, President",Intermediary Funders,1
844571035,ALLY CHARITABLE FOUNDATION,NC,"$81,746,335", 156 , 6 , 14 ,0,9803128320,WWW.ALLY.COM/ABOUT/SOCIAL-IMPACT/GRANTS/,MICHAEL RIZER,PRESIDENT,Intermediary Funders,1
581574705,The Coca-Cola Foundation Inc,GA,"$309,608,071", 155 , 4 , 15 ,0,4046897363,https://www.coca-colacompany.com/social/coca-,Beatriz Perez,Chair/Director,Intermediary Funders,1
131623879,ALTMAN FOUNDATION,NY,"$283,326,707", 150 , 57 , 22 ,0,2126820970,WWW.ALTMANFOUNDATION.ORG,JANE B O'CONNELL,"CHAIR, TRUSTEE",Intermediary Funders,1
366078558,The Spencer Foundation,IL,"$667,415,167", 145 , 3 , 15 ,1,3123377000,www.spencer.org,Dr Na'ilah Suad Nasir,President & Director,Intermediary Funders,1
