foundation_ein,name,state,lasso_score,keyword_grants,keyword_funding,siblings_funded,sibling_funding,median_grant,total_giving_5yr,unique_recipients_5yr,accepts_applications
137298842,BERNARD AND ANNE SPITZER,NY,81.1,2,1550000,0,0,25000,123994680,133,t
830310521,Black-Periman Foundation,IL,80.2,8,26000,0,0,1000,110351,11,t
756038519,TEXAS INSTRUMENTS FOUNDATION,TX,79.2,0,0,1,1250,500,86853686,4401,t
760412011,The Tapeats Fund,DE,78.2,3,22500,0,0,5000,3147500,96,t
131635260,The Commonwealth Fund,NY,77.3,46,10315560,0,0,15000,77011917,375,t
131628151,CARNEGIE CORPORATION OF NEW YORK,NY,76.4,77,31582450,0,0,185600,581872188,393,t
562322084,The VF Foundation,DE,74.8,2,50000,0,0,50000,28685994,134,t
840474837,GATES FAMILY FOUNDATION,CO,73.7,33,1302000,0,0,25000,164126718,494,t
366116535,THE ALLSTATE FOUNDATION,IL,73.4,6,580000,0,0,1000,105089818,2182,t
237093598,John D and Catherine T MacArthur Foundation (Consolidated),IL,70.4,44,17582460,1,1500,60000,1629214426,1618,t
526037034,THE HARRY AND JEANETTE WEINBERG,MD,69.8,11,960000,0,0,50000,406261747,805,t
132872722,MERTZ GILMORE FOUNDATION,NY,68.5,5,275000,0,0,25000,23618300,227,t
366109323,Motorola Solutions Foundation,IL,66.0,0,0,1,270,1200,63140175,931,t
850477271,CENTER FOR EDUCATIONAL INITIATIVES,NM,65.0,3,83000,0,0,4000,373500,20,t
381359264,WK Kellogg Foundation,MI,65.0,28,9644194,0,0,100000,1404489188,1775,t
113199710,Fife Family Foundation Inc,CA,60.6,0,0,1,2000,500,422332,45,t
396037928,The Lynde and Harry Bradley Foundation Inc,WI,58.4,139,5191845,0,0,62675,155304305,291,t
136001282,The Henry Luce Foundation Inc,NY,56.7,24,4097818,0,0,60000,134660632,403,t
362476143,JUDY AND PETER BLUM KOVLER FOUNDATION,DC,54.7,0,0,1,6000,10000,22239038,133,t
251113452,SARAH SCAIFE FOUNDATION INCORPORATED,PA,54.5,17,4289800,0,0,200000,128777214,133,t
226029397,THE ROBERT WOOD JOHNSON FOUNDATION,NJ,54.1,21,5647337,1,1000,14593,1645534281,2006,t
222621967,GE FOUNDATION,CT,53.5,0,0,1,2983,400,69368778,6253,t
680656415,THE BRINSON FOUNDATION,IL,53.4,37,3640400,0,0,40000,116865100,77,t
135596895,JOSIAH MACY JR FOUNDATION,NY,53.2,14,1027228,0,0,49470,8981961,48,t
581574705,The Coca-Cola Foundation Inc,GA,52.4,4,500000,0,0,150000,329299410,236,t
133158325,WEIL GOTSHAL & MANGES FOUNDATION INC,NY,51.3,243,7432978,0,0,10000,12913385,170,t
136090286,THE JM KAPLAN FUND INC,NY,49.6,4,180000,0,0,6300,22771257,309,t
131340512,EQUITABLE FOUNDATION INC,NY,48.8,0,0,1,1025,400,13122614,1925,t
256115832,TEXTRON CHARITABLE TRUST DTD 122353,RI,47.6,0,0,1,51,500,12191351,1828,t
136195286,BYDALE FOUNDATION,NJ,47.0,3,30000,0,0,10000,2936500,79,t
362984045,USG FOUNDATION INC,IL,46.4,0,0,1,500,692,4017105,440,t
316025114,The Scripps Howard Foundation,OH,45.7,9,1254703,0,0,1250,18221906,470,t
380808800,McGregor Fund,MI,45.2,12,364800,0,0,16600,27663588,130,t
742639794,SEMNANI FAMILY FOUNDATION,UT,44.6,0,0,1,5000,10000,15955199,61,t
526054332,Franklin P and Arthur W Perdue Foundation,DE,44.0,3,152500,0,0,5000,12579269,290,t
841568948,Jinpa Foundation,CO,42.1,2,1600,0,0,500,34100,9,t
530241716,EUGENE & AGNES E MEYER FOUNDATION,DC,41.3,2,65000,0,0,35000,31267691,125,t
351813228,Lumina Foundation for Education Inc,IN,40.4,5,140500,0,0,5000,128069564,441,t
223085237,Tina and Richard V Carolan Foundation,NJ,39.3,2,70000,0,0,35000,1946300,14,t
136155080,INTERNATIONAL PAPER COMPANY FOUNDATION,TN,38.2,2,6200,0,0,3544,11104248,488,t
431492132,THE FRANCIS FAMILY FOUNDATION,MO,37.0,103,5302124,0,0,10000,15404730,172,t
436064859,EWING MARION KAUFFMAN FOUNDATION,MO,36.7,24,1384404,0,0,55000,290670927,474,t
300943307,DANTE DIESO FOUNDATION TRUST,MA,36.7,3,21050,0,0,1000,164320,12,t
346513672,H FORT FLOWERS FOUNDATION,TX,36.6,3,80000,0,0,2000,1349200,59,t
256065959,HILLMAN FAMILY FOUNDATIONS,PA,36.5,8,854000,0,0,24000,347524088,869,t
521314430,ISRAEL & MOLLIE MYERS FOUNDATION,MD,36.4,0,0,1,1500,3000,1498278,37,t
454025139,Issachar Fund,MI,35.6,2,81550,0,0,22327,1393219,10,t
