foundation_ein,foundation_name,foundation_state,recipient_ein,recipient_name,amount,purpose_text,tax_year
316039441,NELSON TALBOTT FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,10500,GENERAL NEEDS OR PURPOSE,2023
366141697,LUTHER I REPLOGLE FOUNDATION,MD,271476998,HORIZONS GREATER WASHINGTON INC,7500,GENERAL OPERATING SUPPORT,2023
666012547,Henry L Kimelman Family Foundation,DE,271476998,HORIZONS GREATER WASHINGTON INC,5000,General & Unrestricted,2023
520846147,WALTER A BLOEDORN FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,5000,TO SUPPORT YOUTH PROGRAMS,2023
546520936,THE ZIENTS FAMILY FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,5000,GENERAL SUPPORT,2023
541879808,THE EACHO FAMILY FOUNDATION,MD,271476998,HORIZONS GREATER WASHINGTON INC,3000,EDUCATIONAL,2023
842382067,Blackberry Fund Inc,DC,271476998,HORIZONS GREATER WASHINGTON INC,1500,Unrestricted,2023
473544299,GARCIA FAMILY SPOTLIGHT FOUNDATION INC,MD,271476998,HORIZONS GREATER WASHINGTON INC,1307,ENRICHMENT PROGRAM ADVANCES EDUCATIONAL EQUITY AND INSPIRES JOY IN LEARNING FOR STUDENTS IN THE DC REGION.,2023
873983270,TREVELYAN FAMILY FOUNDATION INC,MD,271476998,HORIZONS GREATER WASHINGTON INC,1029,UNRESTRICTED,2023
823386507,THE DUANE WILDER FOUNDATION INC,TX,271476998,HORIZONS GREATER WASHINGTON INC,1000,AN UNRESTRICTED GRANT TO FURTHER THE ORGANIZATION'S EXEMPT PURPOSE.,2023
953307541,THE EVO AND ORA DECONCINI AND,AZ,271476998,HORIZONS GREATER WASHINGTON INC,500,PREPARE STUDENTS FROM UNDER-RESOURCED COMMUNITIES TO SUCCEED,2023
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,500,PROGRAM/OPERATING SUPPORT,2023
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,160,PROGRAM/OPERATING SUPPORT,2023
131659629,THE ROCKEFELLER FOUNDATION,NY,271476998,HORIZONS GREATER WASHINGTON INC,150,IN SUPPORT OF RF DONATIONS TO CHARITABLE ORGANIZATIONS,2023
200721133,THE BANK OF AMERICA CHARITABLE,NC,271476998,HORIZONS GREATER WASHINGTON INC,80,PROGRAM/OPERATING SUPPORT,2023
812297831,THE SMART FAMILY FUND,IL,271476998,HORIZONS GREATER WASHINGTON INC,60000,OPERATIONAL SUPPORT 2022 - YEAR 2 OF 3,2022
541829618,JOHN G & JEAN R GOSNELL FOUNDATION,MD,271476998,HORIZONS GREATER WASHINGTON INC,40000,GENERAL OPERATING SUPPORT,2022
272764310,ALISANN AND TERRY COLLINS FOUNDATION,VA,271476998,HORIZONS GREATER WASHINGTON INC,35000,GENERAL USE,2022
812297831,THE SMART FAMILY FUND,IL,271476998,HORIZONS GREATER WASHINGTON INC,25000,CAPACITY BUILDING GRANT 2022 - YEAR 2 OF 3,2022
812433446,SMART FAMILY FOUNDATION OF ILLINOIS,IL,271476998,HORIZONS GREATER WASHINGTON INC,10000,"CULTURAL, HISTORICAL & OTHER EDUCATIONAL",2022
046528085,LEONARD & HILDA KAPLAN CHARITABLE,RI,271476998,HORIZONS GREATER WASHINGTON INC,10000,GENERAL FUNDING,2022
316039441,NELSON TALBOTT FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,10000,GENERAL NEEDS OR PURPOSE,2022
464730969,CLOUDBREAK FOUNDATION INC,VA,271476998,HORIZONS GREATER WASHINGTON INC,10000,Children's summer program,2022
366141697,LUTHER I REPLOGLE FOUNDATION,MD,271476998,HORIZONS GREATER WASHINGTON INC,7500,GENERAL OPERATING SUPPORT,2022
530237223,HATTIE M STRONG FOUNDATION,VA,271476998,HORIZONS GREATER WASHINGTON INC,5000,OST (SUMMER CAMP ACADEMIC/HOLISTIC ENRICHMENT),2022
666012547,Henry L Kimelman Family Foundation,DE,271476998,HORIZONS GREATER WASHINGTON INC,5000,General & Unrestricted,2022
522007895,KIMSEY FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,5000,GENERAL OPERATING,2022
541879808,THE EACHO FAMILY FOUNDATION,MD,271476998,HORIZONS GREATER WASHINGTON INC,3000,EDUCATIONAL,2022
341595929,THE NORD FAMILY FOUNDATION,OH,271476998,HORIZONS GREATER WASHINGTON INC,1500,MATCHING - GENERAL OPERATING SUPPORT,2022
526038149,Dimick Foundation,DC,271476998,HORIZONS GREATER WASHINGTON INC,1000,general operating support,2022
208046545,RICE-CAMERON FAMILY FOUNDATION,DC,271476998,HORIZONS GREATER WASHINGTON INC,1000,CHARITABLE,2022
